,Unnamed: 0,id,pt_root_id,pt_position,timestamp,layer,cell_polarity,subclass,pre_syn_count,post_syn_count,unique_pre_syn_target_count,unique_post_syn_target_count
165,165,104850,864691136311834173,[105328 109056  20813],2022-06-09 14:30:32.002707,L1,excitatory,23P,42.0,3350.0,31.0,3046.0
692,692,105207,864691135730192057,[108320 106576  24621],2022-06-09 14:30:32.002707,L1,excitatory,23P,145.0,2040.0,132.0,1842.0
1992,1992,639152,864691135155499876,[365696  97152  18703],2022-06-09 14:30:32.002707,L1,excitatory,23P,18.0,1303.0,15.0,1228.0
2266,2266,687120,864691135367005945,[380464  90592  22722],2022-06-09 14:30:32.002707,L1,excitatory,23P,27.0,1982.0,18.0,1823.0
2538,2538,607723,864691135785716932,[350416  87632  27441],2022-06-09 14:30:32.002707,L1,excitatory,23P,68.0,1680.0,54.0,1576.0
2543,2543,104889,864691135937375285,[109440 106576  21693],2022-06-09 14:30:32.002707,L1,excitatory,23P,38.0,1353.0,34.0,1248.0
3683,3684,20558,864691135535098473,[ 73312 104240  21334],2022-06-09 14:30:32.002707,L1,inhibitory,MC,8.0,205.0,7.0,181.0
3876,3877,608256,864691135953735944,[356912 100080  19613],2022-06-09 14:30:32.002707,L1,excitatory,23P,26.0,1780.0,20.0,1654.0
4249,4250,104778,864691135589946891,[101296 104448  19562],2022-06-09 14:30:32.002707,L1,excitatory,23P,209.0,2376.0,189.0,2245.0
4269,4270,687324,864691135855599918,[383104  85856  24564],2022-06-09 14:30:32.002707,L1,excitatory,23P,8.0,1715.0,7.0,1552.0
4741,4742,636460,864691135293069836,[375488  91376  23949],2022-06-09 14:30:32.002707,L1,excitatory,23P,168.0,2392.0,147.0,2218.0
5326,5327,636377,864691135278229921,[362816  85952  22856],2022-06-09 14:30:32.002707,L1,excitatory,23P,83.0,2721.0,75.0,2462.0
5923,5924,607248,864691135994568618,[359904  88480  21970],2022-06-09 14:30:32.002707,L1,excitatory,23P,26.0,1540.0,19.0,1424.0
6176,6177,607655,864691136236998159,[353424  89312  26467],2022-06-09 14:30:32.002707,L1,excitatory,23P,15.0,1021.0,12.0,961.0
6408,6409,105726,864691135941602420,[114368 106064  26026],2022-06-09 14:30:32.002707,L1,excitatory,23P,93.0,1242.0,86.0,1145.0
6507,6508,104823,864691135322995100,[ 99056 109520  20778],2022-06-09 14:30:32.002707,L1,excitatory,23P,51.0,2121.0,42.0,1962.0
6853,6854,62565,864691136136960381,[ 97904 107600  22298],2022-06-09 14:30:32.002707,L1,excitatory,23P,7.0,894.0,7.0,813.0
7080,7081,580531,864691135969248357,[340432  87680  27195],2022-06-09 14:30:32.002707,L1,excitatory,23P,43.0,2153.0,33.0,2020.0
