,Unnamed: 0,id,pt_root_id,pt_position,timestamp,layer,cell_polarity,subclass,pre_syn_count,post_syn_count,unique_pre_syn_target_count,unique_post_syn_target_count
1,1,113721,864691135366988025,[110208 153664  23546],2022-06-09 14:30:32.002707,L4,excitatory,4P,28.0,2203.0,21.0,1844.0
30,30,30109,864691135278365089,[ 67200 152176  20895],2022-06-09 14:30:32.002707,L4,excitatory,23P,68.0,90.0,61.0,73.0
49,49,113155,864691135809476044,[101552 149616  21520],2022-06-09 14:30:32.002707,L4,excitatory,23P,48.0,561.0,44.0,505.0
65,65,33315,864691136108738488,[ 73680 171856  20140],2022-06-09 14:30:32.002707,L4,excitatory,4P,17.0,771.0,10.0,670.0
121,121,749264,864691135385360981,[395856 135296  23825],2022-06-09 14:30:32.002707,L4,excitatory,4P,6.0,933.0,5.0,805.0
159,159,70843,864691136309656410,[ 87552 144512  20317],2022-06-09 14:30:32.002707,L4,excitatory,23P,9.0,832.0,6.0,735.0
199,199,116812,864691135269759141,[ 99648 171584  21128],2022-06-09 14:30:32.002707,L4,excitatory,4P,42.0,1085.0,37.0,941.0
209,209,158159,864691136748215780,[120256 157184  26691],2022-06-09 14:30:32.002707,L4,excitatory,23P,336.0,275.0,288.0,232.0
210,210,70479,864691135866797590,[ 94400 146960  17772],2022-06-09 14:30:32.002707,L4,excitatory,23P,31.0,2990.0,27.0,2682.0
279,279,156853,864691135472268338,[117168 158688  18177],2022-06-09 14:30:32.002707,L4,excitatory,4P,29.0,3359.0,23.0,2837.0
315,315,156453,864691135354947023,[119552 157888  15775],2022-06-09 14:30:32.002707,L4,excitatory,4P,412.0,1793.0,352.0,1541.0
384,384,659185,864691136008469676,[371104 148896  25581],2022-06-09 14:30:32.002707,L4,excitatory,4P,146.0,885.0,125.0,709.0
406,406,70602,864691136148758865,[ 97904 145120  18602],2022-06-09 14:30:32.002707,L4,excitatory,23P,38.0,1729.0,28.0,1528.0
422,422,297637,864691135617718159,[192896 161248  15223],2022-06-09 14:30:32.002707,L4,excitatory,4P,53.0,869.0,46.0,746.0
430,430,28178,864691135468040121,[ 81040 144400  16812],2022-06-09 14:30:32.002707,L4,inhibitory,BPC,10.0,647.0,3.0,597.0
448,448,611558,864691136215007422,[348000 140160  15572],2022-06-09 14:30:32.002707,L4,excitatory,4P,12.0,1114.0,6.0,996.0
503,503,33480,864691135435945458,[ 73072 165872  20978],2022-06-09 14:30:32.002707,L4,excitatory,4P,53.0,556.0,48.0,467.0
534,534,656740,864691135939389697,[365120 153056  19572],2022-06-09 14:30:32.002707,L4,excitatory,4P,16.0,1050.0,11.0,948.0
558,558,70319,864691136311146391,[ 91024 158112  16632],2022-06-09 14:30:32.002707,L4,excitatory,4P,22.0,950.0,18.0,860.0
606,606,653893,864691136652016893,[366464 136624  25926],2022-06-09 14:30:32.002707,L4,excitatory,4P,83.0,2351.0,68.0,2071.0
614,614,648605,864691135740218219,[361744 125872  27382],2022-06-09 14:30:32.002707,L4,excitatory,23P,196.0,1978.0,173.0,1725.0
694,694,658988,864691135538110322,[366720 148512  23515],2022-06-09 14:30:32.002707,L4,excitatory,4P,38.0,1751.0,38.0,1535.0
744,744,116970,864691134964466975,[104960 167888  22129],2022-06-09 14:30:32.002707,L4,inhibitory,4P,48.0,600.0,40.0,516.0
745,745,70396,864691136139059281,[ 83584 143696  17539],2022-06-09 14:30:32.002707,L4,excitatory,23P,10.0,858.0,3.0,756.0
762,762,115627,864691135809427148,[104064 164400  15597],2022-06-09 14:30:32.002707,L4,excitatory,4P,270.0,883.0,225.0,738.0
775,775,113139,864691136951624159,[ 98592 158080  21805],2022-06-09 14:30:32.002707,L4,excitatory,4P,3.0,483.0,2.0,411.0
879,879,649443,864691136388282999,[361072 139312  16096],2022-06-09 14:30:32.002707,L4,excitatory,4P,38.0,1128.0,24.0,947.0
917,917,33436,864691136194015190,[ 66976 172480  20614],2022-06-09 14:30:32.002707,L4,excitatory,4P,5.0,160.0,2.0,125.0
970,970,331979,864691135488215354,[203344 163920  16662],2022-06-09 14:30:32.002707,L4,excitatory,4P,271.0,1077.0,242.0,969.0
980,980,653955,864691136231675838,[361488 137264  27127],2022-06-09 14:30:32.002707,L4,inhibitory,MC,1569.0,1634.0,1077.0,1341.0
990,990,261452,864691135494684868,[169552 165344  15471],2022-06-09 14:30:32.002707,L4,excitatory,5P-PT,45.0,4075.0,27.0,3486.0
995,995,70376,864691135692734655,[ 96976 146512  16702],2022-06-09 14:30:32.002707,L4,excitatory,23P,14.0,1752.0,7.0,1600.0
998,998,613308,864691135926335956,[350384 135168  27221],2022-06-09 14:30:32.002707,L4,excitatory,4P,289.0,1740.0,248.0,1524.0
1105,1105,699946,864691136940658911,[376768 148688  25440],2022-06-09 14:30:32.002707,L4,excitatory,4P,410.0,1240.0,348.0,1061.0
1179,1179,73683,864691135269796773,[ 95696 163888  17782],2022-06-09 14:30:32.002707,L4,excitatory,4P,29.0,1171.0,27.0,1071.0
1202,1202,393862,864691136618409869,[245424 157552  16118],2022-06-09 14:30:32.002707,L4,excitatory,4P,175.0,1023.0,156.0,858.0
1223,1223,700146,864691135909762729,[377600 147792  26938],2022-06-09 14:30:32.002707,L4,excitatory,4P,256.0,906.0,224.0,692.0
1259,1259,751564,864691135926336980,[399024 140032  27535],2022-06-09 14:30:32.002707,L4,excitatory,4P,55.0,259.0,51.0,215.0
1262,1262,158569,864691135132725408,[117168 171072  16304],2022-06-09 14:30:32.002707,L4,excitatory,4P,142.0,1262.0,125.0,1148.0
1317,1317,73756,864691136817727854,[ 91104 173152  18442],2022-06-09 14:30:32.002707,L4,excitatory,4P,12.0,796.0,12.0,719.0
1324,1324,159645,864691135560479457,[122560 170368  21854],2022-06-09 14:30:32.002707,L4,excitatory,4P,28.0,1968.0,23.0,1699.0
1327,1327,116704,864691136577471508,[100320 171168  20722],2022-06-09 14:30:32.002707,L4,excitatory,4P,47.0,324.0,40.0,282.0
1357,1357,116852,864691136973704220,[105568 175936  21647],2022-06-09 14:30:32.002707,L4,excitatory,4P,41.0,651.0,35.0,544.0
1360,1360,753335,864691135012508918,[396544 149600  23915],2022-06-09 14:30:32.002707,L4,inhibitory,MC,7.0,549.0,3.0,468.0
1390,1390,33349,864691135700221307,[ 76032 162512  20268],2022-06-09 14:30:32.002707,L4,excitatory,4P,49.0,332.0,44.0,270.0
1483,1483,656622,864691135615797353,[368048 154928  19065],2022-06-09 14:30:32.002707,L4,excitatory,4P,11.0,758.0,8.0,657.0
1504,1504,113151,864691136296734747,[ 99904 149872  21644],2022-06-09 14:30:32.002707,L4,excitatory,23P,156.0,963.0,136.0,800.0
1510,1510,653901,864691137020113006,[367616 140448  26080],2022-06-09 14:30:32.002707,L4,excitatory,4P,251.0,1996.0,217.0,1772.0
1609,1609,116848,864691135490215527,[104768 174992  21402],2022-06-09 14:30:32.002707,L4,excitatory,4P,81.0,1436.0,70.0,1255.0
1663,1663,693292,864691135686946784,[384240 125936  27187],2022-06-09 14:30:32.002707,L4,excitatory,23P,334.0,1492.0,293.0,1234.0
1696,1696,695738,864691135686949856,[378208 142512  23127],2022-06-09 14:30:32.002707,L4,excitatory,4P,190.0,1550.0,161.0,1279.0
1732,1732,695804,864691136010952611,[389952 136240  22927],2022-06-09 14:30:32.002707,L4,inhibitory,BC,19.0,5167.0,9.0,4465.0
1767,1767,159019,864691136091332788,[130864 165744  17945],2022-06-09 14:30:32.002707,L4,excitatory,4P,28.0,1952.0,23.0,1662.0
1781,1781,70276,864691135815490895,[ 84800 152576  16814],2022-06-09 14:30:32.002707,L4,excitatory,23P,115.0,819.0,103.0,745.0
1811,1811,158563,864691136194021334,[115632 161136  16453],2022-06-09 14:30:32.002707,L4,excitatory,4P,279.0,1437.0,244.0,1265.0
1827,1827,696389,864691135841084387,[392208 135872  27441],2022-06-09 14:30:32.002707,L4,excitatory,4P,195.0,1143.0,173.0,932.0
1885,1885,113006,864691135758523982,[100832 153504  20618],2022-06-09 14:30:32.002707,L4,excitatory,23P,49.0,1467.0,40.0,1281.0
1954,1954,555708,864691136551186850,[316192 147280  15174],2022-06-09 14:30:32.002707,L4,excitatory,4P,51.0,1353.0,48.0,1197.0
2058,2058,160385,864691135100268064,[119904 174048  26689],2022-06-09 14:30:32.002707,L4,excitatory,23P,16.0,591.0,14.0,507.0
2118,2118,257560,864691135683224562,[179648 135168  16040],2022-06-09 14:30:32.002707,L4,inhibitory,BPC,73.0,1511.0,59.0,1381.0
2126,2126,521259,864691135113160089,[306560 145424  16003],2022-06-09 14:30:32.002707,L4,excitatory,4P,170.0,1318.0,132.0,1181.0
2155,2155,614684,864691136370812040,[358192 150240  22509],2022-06-09 14:30:32.002707,L4,excitatory,4P,22.0,1978.0,20.0,1737.0
2177,2177,159542,864691136390424959,[122848 175264  21709],2022-06-09 14:30:32.002707,L4,excitatory,4P,137.0,1056.0,127.0,952.0
2189,2189,67158,864691135915197030,[ 92864 141504  16924],2022-06-09 14:30:32.002707,L4,excitatory,23P,127.0,1673.0,118.0,1516.0
2202,2202,157088,864691136108739512,[115680 155552  19936],2022-06-09 14:30:32.002707,L4,excitatory,4P,544.0,2618.0,475.0,2248.0
2257,2257,659290,864691135012896150,[375664 148272  25870],2022-06-09 14:30:32.002707,L4,excitatory,5P-IT,118.0,3474.0,101.0,2914.0
2259,2259,584534,864691135341009605,[338960 136144  26922],2022-06-09 14:30:32.002707,L4,excitatory,4P,146.0,2208.0,114.0,1943.0
2295,2295,73731,864691135725638719,[ 86592 165456  18263],2022-06-09 14:30:32.002707,L4,inhibitory,BC,13.0,2888.0,5.0,2479.0
2379,2379,115617,864691135753730509,[101056 172320  15628],2022-06-09 14:30:32.002707,L4,excitatory,4P,253.0,810.0,199.0,722.0
2388,2388,70237,864691136780346222,[ 96128 151872  15794],2022-06-09 14:30:32.002707,L4,excitatory,23P,152.0,1665.0,141.0,1463.0
2436,2436,116951,864691135012521974,[101520 163904  22267],2022-06-09 14:30:32.002707,L4,excitatory,4P,612.0,1671.0,526.0,1396.0
2444,2444,584610,864691136660324605,[336896 142848  27272],2022-06-09 14:30:32.002707,L4,excitatory,4P,28.0,1827.0,27.0,1581.0
2448,2448,73840,864691135975475779,[ 84048 167744  19465],2022-06-09 14:30:32.002707,L4,excitatory,4P,3.0,323.0,2.0,263.0
2463,2463,112203,864691135776619104,[103616 154800  15761],2022-06-09 14:30:32.002707,L4,excitatory,4P,152.0,2295.0,136.0,2089.0
2473,2473,696120,864691135771652683,[389104 130336  25627],2022-06-09 14:30:32.002707,L4,excitatory,23P,12.0,636.0,5.0,496.0
2479,2479,30158,864691135478585798,[ 74736 149776  20534],2022-06-09 14:30:32.002707,L4,excitatory,23P,13.0,457.0,7.0,430.0
2487,2487,699909,864691135393991925,[391152 147520  24527],2022-06-09 14:30:32.002707,L4,excitatory,4P,16.0,590.0,10.0,515.0
2503,2503,653532,864691135490250343,[376720 141808  22175],2022-06-09 14:30:32.002707,L4,excitatory,4P,170.0,1193.0,152.0,1031.0
2525,2525,33854,864691135428717616,[ 79328 163184  21194],2022-06-09 14:30:32.002707,L4,excitatory,4P,8.0,199.0,6.0,169.0
2561,2561,33290,864691135753655501,[ 71184 161824  20089],2022-06-09 14:30:32.002707,L4,excitatory,4P,12.0,339.0,8.0,278.0
2605,2605,74214,864691135570725101,[ 97584 171008  20942],2022-06-09 14:30:32.002707,L4,excitatory,4P,4.0,1146.0,2.0,981.0
2606,2606,26629,864691136148350545,[ 72896 143488  20308],2022-06-09 14:30:32.002707,L4,excitatory,23P,12.0,794.0,9.0,671.0
2841,2841,112159,864691135213062456,[112528 157552  15657],2022-06-09 14:30:32.002707,L4,excitatory,4P,79.0,1129.0,68.0,1022.0
2853,2853,117556,864691135354945231,[105840 164624  24811],2022-06-09 14:30:32.002707,L4,excitatory,4P,49.0,626.0,44.0,539.0
2936,2937,73971,864691135660546800,[ 84032 160688  19980],2022-06-09 14:30:32.002707,L4,excitatory,4P,447.0,866.0,370.0,736.0
2949,2950,658860,864691135467561100,[375296 146512  22503],2022-06-09 14:30:32.002707,L4,excitatory,4P,58.0,2019.0,48.0,1778.0
3054,3055,73451,864691135615804521,[ 96080 164352  16276],2022-06-09 14:30:32.002707,L4,excitatory,4P,17.0,526.0,15.0,473.0
3113,3114,113085,864691136031677115,[109280 159200  20472],2022-06-09 14:30:32.002707,L4,excitatory,4P,42.0,886.0,33.0,789.0
3180,3181,116817,864691135807274525,[100960 167104  21354],2022-06-09 14:30:32.002707,L4,excitatory,4P,33.0,838.0,17.0,734.0
3196,3197,158321,864691136031777979,[123360 146784  27548],2022-06-09 14:30:32.002707,L4,excitatory,23P,1.0,206.0,1.0,164.0
3221,3222,116871,864691135544425768,[108240 167952  21654],2022-06-09 14:30:32.002707,L4,excitatory,4P,224.0,1860.0,192.0,1598.0
3224,3225,297500,864691135615774313,[181056 163280  15560],2022-06-09 14:30:32.002707,L4,excitatory,4P,84.0,888.0,74.0,783.0
3247,3248,329153,864691136692130926,[209328 134176  27329],2022-06-09 14:30:32.002707,L4,inhibitory,MC,15.0,4161.0,10.0,3694.0
3306,3307,73841,864691135589887243,[ 84000 164848  19159],2022-06-09 14:30:32.002707,L4,excitatory,4P,13.0,285.0,4.0,240.0
3324,3325,67827,864691136601574865,[ 94256 142624  21157],2022-06-09 14:30:32.002707,L4,excitatory,23P,14.0,873.0,8.0,749.0
3402,3403,70377,864691135758534222,[ 97072 155536  16611],2022-06-09 14:30:32.002707,L4,excitatory,4P,21.0,726.0,18.0,628.0
3419,3420,653914,864691136683092477,[370848 138784  26405],2022-06-09 14:30:32.002707,L4,inhibitory,BPC,8.0,1829.0,7.0,1579.0
3420,3421,70367,864691136516896996,[ 95312 151312  16615],2022-06-09 14:30:32.002707,L4,excitatory,23P,83.0,584.0,74.0,518.0
3425,3426,659370,864691136256835006,[373840 146016  26820],2022-06-09 14:30:32.002707,L4,excitatory,4P,37.0,701.0,27.0,555.0
3474,3475,615358,864691135403716590,[351168 144976  27576],2022-06-09 14:30:32.002707,L4,excitatory,4P,229.0,1323.0,208.0,1158.0
3478,3479,655718,864691136217235390,[366320 145568  16631],2022-06-09 14:30:32.002707,L4,excitatory,4P,43.0,457.0,36.0,396.0
3525,3526,112360,864691136135028817,[105968 147680  17232],2022-06-09 14:30:32.002707,L4,excitatory,23P,64.0,4815.0,53.0,4338.0
3560,3561,656364,864691135345198495,[361024 151488  18650],2022-06-09 14:30:32.002707,L4,excitatory,4P,26.0,1663.0,19.0,1397.0
3576,3577,112415,864691135345413279,[ 98544 153680  17539],2022-06-09 14:30:32.002707,L4,excitatory,23P,264.0,1383.0,219.0,1247.0
3641,3642,699423,864691136965797070,[380176 146096  22193],2022-06-09 14:30:32.002707,L4,excitatory,4P,40.0,2532.0,31.0,2152.0
3643,3644,70740,864691135345193375,[ 82032 153456  19640],2022-06-09 14:30:32.002707,L4,excitatory,4P,16.0,667.0,13.0,587.0
3650,3651,659279,864691135678492658,[374144 147664  26316],2022-06-09 14:30:32.002707,L4,excitatory,4P,169.0,2263.0,144.0,1868.0
3724,3725,614540,864691136027479590,[348496 148320  21434],2022-06-09 14:30:32.002707,L4,excitatory,4P,10.0,487.0,3.0,419.0
3794,3795,613460,864691135194430250,[358528 137456  27471],2022-06-09 14:30:32.002707,L4,excitatory,4P,388.0,2155.0,311.0,1793.0
3883,3884,112227,864691136136624509,[106256 154480  15944],2022-06-09 14:30:32.002707,L4,excitatory,4P,152.0,2676.0,139.0,2309.0
3925,3926,612076,864691136687008765,[356272 142944  17230],2022-06-09 14:30:32.002707,L4,excitatory,4P,16.0,1835.0,13.0,1660.0
4104,4105,613694,864691135542779378,[356208 144432  16307],2022-06-09 14:30:32.002707,L4,excitatory,23P,137.0,2453.0,115.0,2174.0
4167,4168,613451,864691135991519169,[357008 134064  27492],2022-06-09 14:30:32.002707,L4,excitatory,4P,83.0,2511.0,70.0,2194.0
4171,4172,653820,864691135697389589,[365904 134208  25319],2022-06-09 14:30:32.002707,L4,excitatory,4P,404.0,1520.0,340.0,1353.0
4209,4210,554189,864691135737841044,[321344 140432  15128],2022-06-09 14:30:32.002707,L4,excitatory,4P,146.0,1489.0,130.0,1326.0
4226,4227,74265,864691135937391669,[ 86336 163280  21411],2022-06-09 14:30:32.002707,L4,excitatory,4P,3.0,524.0,2.0,436.0
4237,4238,162778,864691136023831097,[121776 177488  25462],2022-06-09 14:30:32.002707,L4,excitatory,23P,44.0,1174.0,33.0,1021.0
4284,4285,73496,864691136740425052,[ 83584 163584  16857],2022-06-09 14:30:32.002707,L4,excitatory,4P,6.0,281.0,2.0,237.0
4301,4302,33313,864691135740187243,[ 73552 165072  20046],2022-06-09 14:30:32.002707,L4,excitatory,4P,13.0,414.0,7.0,319.0
4340,4341,653756,864691135939321345,[366976 141904  24737],2022-06-09 14:30:32.002707,L4,excitatory,4P,48.0,2576.0,40.0,2178.0
4408,4409,109345,864691136008470188,[106736 136784  17756],2022-06-09 14:30:32.002707,L4,excitatory,23P,34.0,4093.0,27.0,3701.0
4443,4444,71143,864691135334527209,[ 90528 155488  21480],2022-06-09 14:30:32.002707,L4,excitatory,4P,18.0,437.0,15.0,371.0
4515,4516,693164,864691135841083875,[377248 125168  25740],2022-06-09 14:30:32.002707,L4,excitatory,23P,57.0,1965.0,45.0,1683.0
4517,4518,699501,864691135939334913,[388272 148816  22310],2022-06-09 14:30:32.002707,L4,excitatory,4P,16.0,634.0,10.0,545.0
4578,4579,70560,864691135780842320,[ 90864 159600  18164],2022-06-09 14:30:32.002707,L4,excitatory,4P,163.0,1659.0,132.0,1463.0
4613,4614,33301,864691135926317012,[ 72112 167568  20249],2022-06-09 14:30:32.002707,L4,excitatory,4P,10.0,450.0,7.0,376.0
4644,4645,116977,864691136286541507,[106576 172000  22192],2022-06-09 14:30:32.002707,L4,excitatory,4P,18.0,719.0,14.0,606.0
4698,4699,695931,864691135759631037,[390240 128112  23640],2022-06-09 14:30:32.002707,L4,excitatory,23P,183.0,2967.0,146.0,2545.0
4705,4706,70529,864691136108725176,[ 85072 153136  18242],2022-06-09 14:30:32.002707,L4,excitatory,23P,10.0,497.0,6.0,440.0
4718,4719,523030,864691135948733130,[303104 149504  27443],2022-06-09 14:30:32.002707,L4,excitatory,4P,14.0,1864.0,9.0,1596.0
4812,4813,191531,864691136031742651,[132656 145216  15357],2022-06-09 14:30:32.002707,L4,excitatory,23P,24.0,1305.0,11.0,1155.0
