,Unnamed: 0,id,pt_root_id,pt_position,timestamp,layer,cell_polarity,subclass,pre_syn_count,post_syn_count,unique_pre_syn_target_count,unique_post_syn_target_count
53,53,610081,864691136675007741,[347328 126896  16551],2022-06-09 14:30:32.002707,L23,inhibitory,BPC,263.0,3383.0,225.0,3076.0
174,174,106872,864691135568917126,[114112 112960  20913],2022-06-09 14:30:32.002707,L23,excitatory,23P,23.0,1233.0,20.0,1155.0
226,226,67058,864691136262039780,[ 91616 128928  15936],2022-06-09 14:30:32.002707,L23,excitatory,23P,5.0,1586.0,4.0,1445.0
230,230,66972,864691136004775626,[ 92864 141872  15627],2022-06-09 14:30:32.002707,L23,excitatory,23P,56.0,1717.0,53.0,1589.0
264,264,648537,864691136124060454,[376768 110672  25706],2022-06-09 14:30:32.002707,L23,inhibitory,BC,846.0,8236.0,532.0,6879.0
287,287,581765,864691136194338636,[330992 117088  15715],2022-06-09 14:30:32.002707,L23,excitatory,23P,43.0,4657.0,27.0,4110.0
305,305,609549,864691136056375000,[357328  96848  26242],2022-06-09 14:30:32.002707,L23,excitatory,23P,37.0,2922.0,32.0,2706.0
307,307,63740,864691136010949283,[ 89984 124720  17138],2022-06-09 14:30:32.002707,L23,excitatory,23P,173.0,1897.0,134.0,1753.0
355,355,63675,864691136041066582,[ 95088 122544  15920],2022-06-09 14:30:32.002707,L23,excitatory,23P,58.0,1711.0,51.0,1598.0
368,368,611511,864691135303172263,[356864 117376  27355],2022-06-09 14:30:32.002707,L23,excitatory,23P,109.0,3268.0,100.0,2919.0
440,440,153339,864691136309662554,[125168 115744  20567],2022-06-09 14:30:32.002707,L23,inhibitory,BPC,2.0,452.0,2.0,418.0
542,542,609369,864691135945499172,[358800  95808  25575],2022-06-09 14:30:32.002707,L23,excitatory,23P,37.0,2864.0,29.0,2725.0
662,662,642034,864691135683972535,[371328  95632  23986],2022-06-09 14:30:32.002707,L23,excitatory,23P,68.0,3134.0,59.0,2964.0
740,740,581920,864691136296849691,[343376 123312  16888],2022-06-09 14:30:32.002707,L23,excitatory,23P,102.0,6868.0,85.0,6215.0
835,835,690042,864691136723424765,[382720 108544  25887],2022-06-09 14:30:32.002707,L23,excitatory,23P,16.0,980.0,15.0,865.0
892,892,687406,864691135348282071,[382928  91728  25714],2022-06-09 14:30:32.002707,L23,excitatory,23P,12.0,668.0,8.0,609.0
896,896,689872,864691135012896918,[383088 109312  24257],2022-06-09 14:30:32.002707,L23,excitatory,23P,500.0,4331.0,414.0,3796.0
899,899,67043,864691135837203859,[ 88656 142288  16139],2022-06-09 14:30:32.002707,L23,excitatory,23P,17.0,863.0,12.0,785.0
1006,1006,106288,864691136325783703,[100752 120336  16386],2022-06-09 14:30:32.002707,L23,excitatory,23P,21.0,2975.0,17.0,2769.0
1035,1035,608083,864691135149716372,[359920 106432  17268],2022-06-09 14:30:32.002707,L23,inhibitory,MC,133.0,1601.0,106.0,1439.0
1070,1070,64181,864691136194336332,[ 85808 121056  20984],2022-06-09 14:30:32.002707,L23,excitatory,23P,52.0,1077.0,43.0,1002.0
1146,1146,607806,864691135847899486,[352880 104912  15502],2022-06-09 14:30:32.002707,L23,excitatory,23P,15.0,1098.0,11.0,1034.0
1171,1171,642311,864691135345206431,[368864 103600  26004],2022-06-09 14:30:32.002707,L23,excitatory,23P,149.0,2795.0,130.0,2563.0
1241,1241,66960,864691135213080120,[ 91648 139824  15511],2022-06-09 14:30:32.002707,L23,excitatory,23P,61.0,2137.0,51.0,1946.0
1251,1251,64188,864691136138933841,[ 88800 113680  20783],2022-06-09 14:30:32.002707,L23,inhibitory,NGC,43.0,2664.0,34.0,2472.0
1304,1304,21783,864691135560505569,[ 80128 124000  16563],2022-06-09 14:30:32.002707,L23,excitatory,23P,4.0,192.0,2.0,173.0
1307,1307,67774,864691135194441514,[ 84192 138624  21341],2022-06-09 14:30:32.002707,L23,excitatory,23P,87.0,1070.0,78.0,950.0
1322,1322,693326,864691136091358388,[390432 114048  27154],2022-06-09 14:30:32.002707,L23,excitatory,23P,101.0,1259.0,91.0,1072.0
1365,1365,67619,864691136482887980,[ 93248 135280  19878],2022-06-09 14:30:32.002707,L23,excitatory,23P,45.0,1212.0,38.0,1104.0
1480,1480,581455,864691135758827854,[339728  97824  26235],2022-06-09 14:30:32.002707,L23,excitatory,23P,52.0,5488.0,44.0,5069.0
1492,1492,608713,864691135807280413,[356224 110400  23831],2022-06-09 14:30:32.002707,L23,excitatory,23P,65.0,27.0,49.0,21.0
1497,1497,689793,864691136008438700,[385984 102912  23921],2022-06-09 14:30:32.002707,L23,excitatory,23P,6.0,1299.0,3.0,1124.0
1509,1509,642428,864691135440493640,[373472 109792  26483],2022-06-09 14:30:32.002707,L23,excitatory,NGC,131.0,3821.0,118.0,3381.0
1666,1666,648188,864691135274084837,[365168 116720  23197],2022-06-09 14:30:32.002707,L23,excitatory,23P,38.0,6099.0,26.0,5120.0
1707,1707,690185,864691135303176615,[389488  99520  27104],2022-06-09 14:30:32.002707,L23,excitatory,23P,19.0,547.0,12.0,487.0
1843,1843,609632,864691136443740547,[357536 107760  26492],2022-06-09 14:30:32.002707,L23,inhibitory,NGC,204.0,4739.0,164.0,4455.0
1908,1908,24095,864691136811907300,[ 81552 128112  15324],2022-06-09 14:30:32.002707,L23,inhibitory,BPC,3.0,111.0,1.0,100.0
1947,1947,636520,864691135162660141,[366032  92416  24263],2022-06-09 14:30:32.002707,L23,excitatory,23P,23.0,3480.0,17.0,3307.0
1990,1990,611459,864691136945619423,[344704 120672  27382],2022-06-09 14:30:32.002707,L23,excitatory,23P,200.0,2823.0,175.0,2495.0
2035,2035,610348,864691135564604439,[357792 111296  18042],2022-06-09 14:30:32.002707,L23,excitatory,23P,37.0,2168.0,28.0,1958.0
2037,2037,23389,864691134988474746,[ 77184 121024  20696],2022-06-09 14:30:32.002707,L23,excitatory,23P,8.0,658.0,6.0,582.0
2052,2052,64164,864691136323191703,[ 83600 125936  20729],2022-06-09 14:30:32.002707,L23,excitatory,23P,19.0,1540.0,17.0,1394.0
2331,2331,517833,864691135717112212,[302464 124320  15867],2022-06-09 14:30:32.002707,L23,excitatory,23P,54.0,2637.0,44.0,2458.0
2345,2345,155177,864691136194090710,[129712 128864  20671],2022-06-09 14:30:32.002707,L23,excitatory,23P,16.0,1071.0,14.0,1022.0
2427,2427,644771,864691135888517769,[360784 118368  17855],2022-06-09 14:30:32.002707,L23,excitatory,23P,259.0,3712.0,217.0,3322.0
2449,2449,26363,864691135538106482,[ 67536 128912  20109],2022-06-09 14:30:32.002707,L23,excitatory,23P,168.0,529.0,147.0,452.0
2456,2456,109786,864691135213074488,[108816 139328  20767],2022-06-09 14:30:32.002707,L23,excitatory,23P,133.0,1226.0,117.0,1066.0
2481,2481,608568,864691135855597102,[356224  98512  22259],2022-06-09 14:30:32.002707,L23,excitatory,23P,44.0,2656.0,34.0,2403.0
2595,2595,64283,864691136443710595,[ 92640 115664  21394],2022-06-09 14:30:32.002707,L23,excitatory,23P,16.0,642.0,15.0,593.0
2624,2624,581854,864691135809455820,[330080 120416  16768],2022-06-09 14:30:32.002707,L23,excitatory,23P,20.0,3176.0,16.0,2963.0
2646,2646,22942,864691135581600621,[ 79712 124736  19420],2022-06-09 14:30:32.002707,L23,excitatory,BPC,1.0,58.0,1.0,43.0
2689,2689,690125,864691136023798585,[378912 104352  26530],2022-06-09 14:30:32.002707,L23,excitatory,23P,36.0,1898.0,28.0,1641.0
2703,2703,63594,864691136291180695,[ 94160 121728  15210],2022-06-09 14:30:32.002707,L23,excitatory,23P,39.0,1528.0,35.0,1435.0
2717,2717,642291,864691136056335832,[364848  96416  26049],2022-06-09 14:30:32.002707,L23,excitatory,23P,68.0,3187.0,55.0,2852.0
2778,2778,66947,864691136324428183,[ 89152 128432  15512],2022-06-09 14:30:32.002707,L23,excitatory,23P,59.0,1483.0,54.0,1298.0
2783,2783,642261,864691135341018821,[376304  95664  24973],2022-06-09 14:30:32.002707,L23,excitatory,23P,98.0,1489.0,84.0,1380.0
2785,2785,188206,864691136010967971,[140800 118480  16540],2022-06-09 14:30:32.002707,L23,excitatory,23P,32.0,2562.0,22.0,2419.0
2865,2865,648236,864691135233128537,[375408 120144  22881],2022-06-09 14:30:32.002707,L23,excitatory,23P,216.0,5987.0,179.0,5041.0
2978,2979,690138,864691135385310037,[382272  98480  27059],2022-06-09 14:30:32.002707,L23,excitatory,23P,382.0,1565.0,309.0,1419.0
3033,3034,636425,864691135472059954,[362752  93408  23700],2022-06-09 14:30:32.002707,L23,excitatory,23P,69.0,3407.0,60.0,3170.0
3079,3080,63744,864691136290965399,[ 90880 122736  16573],2022-06-09 14:30:32.002707,L23,excitatory,23P,51.0,1440.0,47.0,1302.0
3167,3168,67451,864691135939369985,[ 87312 132128  18987],2022-06-09 14:30:32.002707,L23,excitatory,23P,187.0,241.0,154.0,205.0
3206,3207,642193,864691135841376483,[362704 105216  24992],2022-06-09 14:30:32.002707,L23,excitatory,23P,234.0,5990.0,202.0,5515.0
3289,3290,687327,864691135837672851,[384000  89968  24726],2022-06-09 14:30:32.002707,L23,excitatory,23P,18.0,2006.0,11.0,1871.0
3296,3297,610120,864691135918034947,[357184 118368  16638],2022-06-09 14:30:32.002707,L23,inhibitory,MC,1173.0,3380.0,875.0,3020.0
3447,3448,26649,864691135012470518,[ 75536 137216  21058],2022-06-09 14:30:32.002707,L23,excitatory,23P,5.0,696.0,4.0,620.0
3460,3461,223506,864691135986901763,[149088 127888  15148],2022-06-09 14:30:32.002707,L23,excitatory,23P,30.0,1986.0,23.0,1802.0
3536,3537,222161,864691136436407966,[148544 124176  16769],2022-06-09 14:30:32.002707,L23,inhibitory,BPC,25.0,167.0,14.0,144.0
3552,3553,63983,864691136745254116,[ 87904 124736  19099],2022-06-09 14:30:32.002707,L23,excitatory,23P,25.0,642.0,22.0,596.0
3562,3563,108960,864691136149038673,[101552 130720  15460],2022-06-09 14:30:32.002707,L23,excitatory,23P,28.0,2759.0,22.0,2506.0
3589,3590,689877,864691135502049973,[383824 107440  24533],2022-06-09 14:30:32.002707,L23,excitatory,23P,132.0,2279.0,107.0,1976.0
3657,3658,611100,864691135929878787,[354960 113696  24170],2022-06-09 14:30:32.002707,L23,inhibitory,BPC,125.0,2040.0,67.0,1795.0
3691,3692,610092,864691136004774858,[350560 115664  16853],2022-06-09 14:30:32.002707,L23,excitatory,23P,58.0,4166.0,44.0,3718.0
3792,3793,607695,864691135577304581,[345024  92864  27571],2022-06-09 14:30:32.002707,L23,excitatory,23P,12.0,943.0,7.0,875.0
3801,3802,689786,864691135213058360,[384016  98640  23536],2022-06-09 14:30:32.002707,L23,excitatory,23P,21.0,1618.0,14.0,1491.0
3897,3898,106906,864691136194084566,[104480 114848  21210],2022-06-09 14:30:32.002707,L23,excitatory,23P,34.0,1702.0,30.0,1610.0
3953,3954,105205,864691135937791029,[106688 110848  24536],2022-06-09 14:30:32.002707,L23,excitatory,23P,103.0,1230.0,96.0,1148.0
3969,3970,516984,864691135705440404,[303728 103376  20961],2022-06-09 14:30:32.002707,L23,inhibitory,BPC,149.0,863.0,91.0,738.0
4008,4009,611164,864691135748590121,[346736 114816  25430],2022-06-09 14:30:32.002707,L23,excitatory,23P,38.0,3900.0,24.0,3487.0
4011,4012,648349,864691136205324222,[365152 111968  24609],2022-06-09 14:30:32.002707,L23,inhibitory,BC,343.0,5581.0,264.0,5098.0
4019,4020,642409,864691135497633555,[370240  98272  26532],2022-06-09 14:30:32.002707,L23,excitatory,23P,32.0,2723.0,27.0,2484.0
4026,4027,67715,864691136263396580,[ 89936 127760  21082],2022-06-09 14:30:32.002707,L23,excitatory,23P,25.0,1108.0,22.0,993.0
4056,4057,642072,864691136194081750,[362464 110288  24588],2022-06-09 14:30:32.002707,L23,excitatory,23P,182.0,3211.0,155.0,2883.0
4059,4060,64282,864691136515289572,[ 92528 116400  21107],2022-06-09 14:30:32.002707,L23,excitatory,23P,19.0,1668.0,16.0,1509.0
4061,4062,155205,864691135341353669,[115312 139824  21739],2022-06-09 14:30:32.002707,L23,excitatory,23P,148.0,2475.0,127.0,2139.0
4157,4158,517785,864691136543420066,[309472 113776  15250],2022-06-09 14:30:32.002707,L23,excitatory,23P,47.0,4237.0,37.0,3939.0
