,Unnamed: 0,id,pt_root_id,pt_position,timestamp,layer,cell_polarity,subclass,pre_syn_count,post_syn_count,unique_pre_syn_target_count,unique_post_syn_target_count
83,83,656635,864691136010940067,[369824 155936  19422],2022-06-09 14:30:32.002707,L5,excitatory,4P,47.0,675.0,39.0,596.0
158,158,617620,864691134947395068,[346016 189936  17625],2022-06-09 14:30:32.002707,L5,excitatory,5P-IT,90.0,1859.0,70.0,1636.0
182,182,73445,864691135437360882,[ 95008 176048  16148],2022-06-09 14:30:32.002707,L5,inhibitory,MC,270.0,3364.0,241.0,2953.0
236,236,712174,864691136004593315,[387296 198720  26638],2022-06-09 14:30:32.002707,L5,excitatory,6P-CT,10.0,403.0,6.0,336.0
314,314,76385,864691136443719811,[ 90176 186720  17323],2022-06-09 14:30:32.002707,L5,excitatory,NGC,207.0,1687.0,178.0,1441.0
321,321,78711,864691136293913310,[ 97552 206896  16232],2022-06-09 14:30:32.002707,L5,inhibitory,MC,95.0,549.0,88.0,484.0
338,338,526288,864691136105472985,[306704 188848  16041],2022-06-09 14:30:32.002707,L5,excitatory,5P-IT,85.0,2600.0,66.0,2199.0
513,513,703973,864691136004748746,[387760 168064  27290],2022-06-09 14:30:32.002707,L5,excitatory,5P-IT,264.0,1784.0,221.0,1480.0
530,530,120450,864691135988303104,[102608 186736  21872],2022-06-09 14:30:32.002707,L5,excitatory,5P-IT,99.0,415.0,90.0,358.0
591,591,162856,864691135515915475,[115952 189040  25783],2022-06-09 14:30:32.002707,L5,excitatory,5P-IT,156.0,545.0,130.0,479.0
616,616,703799,864691136710214141,[389488 168240  26255],2022-06-09 14:30:32.002707,L5,excitatory,5P-IT,9.0,734.0,7.0,612.0
711,711,700119,864691135771706187,[389600 151808  26113],2022-06-09 14:30:32.002707,L5,excitatory,4P,69.0,243.0,59.0,194.0
722,722,164088,864691136004728266,[121360 204960  16637],2022-06-09 14:30:32.002707,L5,excitatory,5P-IT,54.0,2247.0,42.0,2052.0
742,742,229183,864691136050856947,[150064 177904  15302],2022-06-09 14:30:32.002707,L5,excitatory,4P,120.0,1298.0,101.0,1158.0
788,788,120311,864691136273261246,[113248 182240  20993],2022-06-09 14:30:32.002707,L5,excitatory,23P,255.0,1063.0,212.0,940.0
806,806,79771,864691136134402699,[ 87680 195440  21251],2022-06-09 14:30:32.002707,L5,excitatory,5P-IT,8.0,236.0,4.0,183.0
852,852,119447,864691135396379169,[110608 185008  16249],2022-06-09 14:30:32.002707,L5,excitatory,5P-IT,80.0,2269.0,65.0,2059.0
868,868,659038,864691134940223331,[375824 150992  24080],2022-06-09 14:30:32.002707,L5,excitatory,4P,18.0,1670.0,10.0,1406.0
914,914,663138,864691136039704830,[368544 162528  27275],2022-06-09 14:30:32.002707,L5,excitatory,5P-IT,1105.0,1214.0,882.0,993.0
933,933,614685,864691136688467965,[359216 152096  21954],2022-06-09 14:30:32.002707,L5,excitatory,4P,6.0,1056.0,4.0,925.0
973,973,123519,864691135373728073,[105232 208848  19331],2022-06-09 14:30:32.002707,L5,excitatory,5P-PT,387.0,4711.0,317.0,3937.0
1011,1011,707126,864691136209045948,[392528 191920  22554],2022-06-09 14:30:32.002707,L5,inhibitory,BC,26.0,3437.0,4.0,2994.0
1016,1016,123373,864691136911621873,[101584 198992  18399],2022-06-09 14:30:32.002707,L5,excitatory,MC,329.0,3400.0,253.0,2968.0
1044,1044,526840,864691135909754281,[304832 179168  18807],2022-06-09 14:30:32.002707,L5,excitatory,5P-NP,81.0,1188.0,72.0,1111.0
1092,1092,658948,864691135474694720,[375104 152896  22800],2022-06-09 14:30:32.002707,L5,excitatory,4P,97.0,2347.0,88.0,2064.0
1132,1132,711730,864691135888537481,[388736 194768  22666],2022-06-09 14:30:32.002707,L5,excitatory,5P-IT,29.0,1323.0,19.0,1121.0
1154,1154,77221,864691135660477936,[ 97008 182832  21117],2022-06-09 14:30:32.002707,L5,excitatory,4P,7.0,420.0,3.0,380.0
1174,1174,79541,864691136617141211,[ 82800 198672  19850],2022-06-09 14:30:32.002707,L5,excitatory,5P-IT,38.0,1429.0,27.0,1181.0
1213,1213,234548,864691136123910950,[151936 214400  21423],2022-06-09 14:30:32.002707,L5,excitatory,5P-IT,44.0,2501.0,30.0,2228.0
1291,1291,165688,864691136274060301,[127680 195024  26956],2022-06-09 14:30:32.002707,L5,excitatory,5P-IT,151.0,1622.0,125.0,1389.0
1372,1372,526336,864691135269750949,[301136 192464  17205],2022-06-09 14:30:32.002707,L5,excitatory,5P-IT,61.0,2088.0,57.0,1953.0
1411,1411,588107,864691135479573700,[338096 165216  26979],2022-06-09 14:30:32.002707,L5,excitatory,5P-IT,45.0,3029.0,30.0,2631.0
1439,1439,590575,864691135404014062,[335520 195632  20257],2022-06-09 14:30:32.002707,L5,excitatory,5P-IT,90.0,2271.0,75.0,2107.0
1518,1518,76965,864691135593521963,[ 83392 179840  20822],2022-06-09 14:30:32.002707,L5,excitatory,4P,14.0,339.0,12.0,283.0
1537,1537,232607,864691136723954429,[160768 197008  21038],2022-06-09 14:30:32.002707,L5,excitatory,5P-IT,55.0,83.0,45.0,74.0
1713,1713,756795,864691136946095583,[393200 169856  23803],2022-06-09 14:30:32.002707,L5,excitatory,5P-IT,23.0,1125.0,8.0,935.0
1858,1858,163990,864691136237510972,[125488 207568  16294],2022-06-09 14:30:32.002707,L5,excitatory,5P-IT,38.0,2061.0,27.0,1839.0
1871,1871,73379,864691135346232306,[ 88016 172976  16446],2022-06-09 14:30:32.002707,L5,excitatory,4P,86.0,117.0,77.0,90.0
2100,2100,660723,864691136019874086,[362800 170400  18575],2022-06-09 14:30:32.002707,L5,inhibitory,BC,16.0,2175.0,12.0,1939.0
