,Unnamed: 0,id,pt_root_id,pt_position,timestamp,layer,cell_polarity,subclass,pre_syn_count,post_syn_count,unique_pre_syn_target_count,unique_post_syn_target_count
6309,6310,533518,864691135939327233,[300224 231056  15508],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,43.0,995.0,24.0,902.0
6323,6324,133111,864691136041062998,[ 98336 256240  21361],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,18.0,522.0,10.0,466.0
6330,6331,624551,864691136274006797,[350560 239760  26631],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,51.0,1910.0,34.0,1718.0
6364,6365,87654,864691135385284437,[ 87296 250848  20543],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,4.0,353.0,3.0,336.0
6465,6466,126713,864691135348242135,[101312 214272  20002],2022-06-09 14:30:32.002707,L6,excitatory,5P-IT,24.0,1085.0,14.0,968.0
6472,6473,622041,864691136311753789,[357712 222176  22169],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,11.0,920.0,7.0,839.0
6490,6491,763905,864691135256118703,[397040 223360  23001],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,31.0,810.0,22.0,718.0
6491,6492,669600,864691136951582175,[374784 200784  22066],2022-06-09 14:30:32.002707,L6,excitatory,5P-PT,92.0,2909.0,68.0,2439.0
6515,6516,669651,864691136194507340,[365200 201008  22912],2022-06-09 14:30:32.002707,L6,inhibitory,BC,19.0,3231.0,11.0,2903.0
6538,6539,84118,864691135162205485,[ 93904 236736  18467],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,11.0,613.0,7.0,544.0
6549,6550,170789,864691136123761446,[119824 243744  15701],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,28.0,905.0,24.0,833.0
6552,6553,712111,864691135762016566,[390016 207680  26039],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,22.0,724.0,11.0,601.0
6571,6572,87552,864691135951996451,[ 94304 249408  19618],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,8.0,348.0,5.0,310.0
6585,6586,619120,864691135918351024,[358448 198048  15283],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,34.0,458.0,27.0,415.0
6592,6593,717505,864691135827942144,[388880 213392  26493],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,15.0,317.0,12.0,276.0
6635,6636,717049,864691135571306533,[389392 210656  23072],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,20.0,1463.0,14.0,1241.0
6650,6651,722234,864691136237027855,[390928 226528  23855],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,77.0,2188.0,58.0,1988.0
6721,6722,727093,864691135198941056,[393072 247568  23907],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,17.0,769.0,12.0,651.0
6752,6753,674413,864691135776662880,[369120 229344  17682],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,34.0,543.0,23.0,483.0
6849,6850,667964,864691135724230571,[371488 205200  17673],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,6.0,266.0,5.0,240.0
6898,6899,83728,864691136951621087,[ 89936 238016  16980],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,8.0,471.0,5.0,414.0
7056,7057,619243,864691136031709883,[356368 204384  15815],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,11.0,1113.0,5.0,1009.0
7065,7066,621401,864691136311794749,[356800 223424  18035],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,27.0,1490.0,17.0,1391.0
7070,7071,625936,864691135657768578,[353520 244784  22380],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,46.0,1198.0,33.0,1070.0
7074,7075,81252,864691135474702656,[ 93344 224960  16778],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,11.0,619.0,6.0,531.0
7095,7096,133048,864691135941178996,[101520 258112  21027],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,3.0,289.0,2.0,241.0
7109,7110,712065,864691135758195389,[378160 208944  26283],2022-06-09 14:30:32.002707,L6,excitatory,5P-NP,27.0,1278.0,12.0,1144.0
7135,7136,172587,864691136311829053,[115376 254224  24846],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,14.0,718.0,5.0,623.0
7189,7190,764148,864691135076035104,[398576 215376  23605],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,9.0,305.0,3.0,260.0
7321,7322,172067,864691135654520002,[127392 256176  20943],2022-06-09 14:30:32.002707,L6,excitatory,5P-IT,461.0,29.0,402.0,26.0
7338,7339,726781,864691135012890358,[379136 244192  22516],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,73.0,675.0,53.0,587.0
7357,7358,202679,864691135341059781,[143424 241184  17841],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,23.0,2141.0,16.0,1919.0
7365,7366,669679,864691135526126578,[370128 204880  23147],2022-06-09 14:30:32.002707,L6,excitatory,5P-NP,61.0,806.0,54.0,748.0
7408,7409,129829,864691135337703910,[110400 227008  21065],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,48.0,879.0,31.0,767.0
7429,7430,671396,864691135474643008,[366928 220272  19756],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,20.0,630.0,16.0,571.0
7456,7457,562853,864691134947415804,[320464 208784  22011],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,14.0,1180.0,10.0,1048.0
7501,7502,765421,864691134884747514,[393264 237504  22146],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,39.0,670.0,24.0,548.0
7502,7503,532175,864691135754552786,[308400 212704  18166],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,41.0,2529.0,27.0,2341.0
7511,7512,84412,864691135888488329,[ 96784 236880  19093],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,7.0,290.0,6.0,242.0
7516,7517,670959,864691135864747996,[371184 222320  17119],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,15.0,366.0,5.0,333.0
7517,7518,727083,864691135348615383,[390576 249856  23526],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,77.0,1053.0,54.0,896.0
7564,7565,762888,864691135199536256,[393952 204096  26498],2022-06-09 14:30:32.002707,L6,excitatory,4P,14.0,298.0,9.0,238.0
7566,7567,130470,864691135494058128,[111216 231840  22960],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,5.0,324.0,2.0,291.0
7648,7649,90208,864691135724189099,[ 89216 262976  21235],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,7.0,39.0,6.0,25.0
7752,7753,83715,864691135132677792,[ 87840 233312  16666],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,10.0,955.0,5.0,874.0
7791,7792,716933,864691135468154962,[391392 209600  22531],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,33.0,736.0,23.0,653.0
7797,7798,133037,864691136004789194,[101280 248112  20872],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,13.0,417.0,10.0,378.0
7803,7804,675757,864691135807642909,[362880 240656  22940],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,113.0,1266.0,88.0,1134.0
7821,7822,673316,864691135785749188,[372736 218768  26270],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,22.0,644.0,17.0,562.0
7883,7884,84835,864691135986906883,[ 93808 236080  21285],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,4.0,173.0,2.0,136.0
7936,7937,87881,864691135740211563,[ 91504 244592  21292],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,6.0,31.0,4.0,21.0
7946,7947,561773,864691136004793802,[318592 198304  16455],2022-06-09 14:30:32.002707,L6,excitatory,5P-NP,13.0,427.0,6.0,398.0
7988,7989,501303,864691135210526912,[282544 228704  23708],2022-06-09 14:30:32.002707,L6,inhibitory,6P-IT,840.0,1606.0,487.0,1191.0
8042,8043,531214,864691135293079308,[304112 205360  24034],2022-06-09 14:30:32.002707,L6,inhibitory,5P-NP,51.0,424.0,46.0,384.0
8049,8050,671275,864691135134715929,[370880 218080  19287],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,23.0,687.0,19.0,631.0
8146,8147,135922,864691135354943439,[103616 260208  18461],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,9.0,597.0,7.0,514.0
8154,8155,128801,864691135181819650,[107712 231792  15285],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,6.0,610.0,2.0,552.0
8229,8230,624449,864691135999012515,[344800 239216  26263],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,104.0,1505.0,80.0,1348.0
8275,8276,674235,864691136266450420,[366704 227120  16891],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,128.0,693.0,106.0,621.0
8291,8292,670644,864691135210039488,[364752 218128  15911],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,13.0,417.0,4.0,372.0
8314,8315,203816,864691136819638638,[134416 238320  26217],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,53.0,926.0,47.0,852.0
8317,8318,80953,864691135777133501,[ 88688 220144  15198],2022-06-09 14:30:32.002707,L6,excitatory,5P-IT,15.0,350.0,7.0,314.0
8363,8364,674553,864691136274051085,[374704 227520  18632],2022-06-09 14:30:32.002707,L6,inhibitory,BC,55.0,3144.0,20.0,2771.0
