,Unnamed: 0,id,pt_root_id,pt_position,timestamp,layer,cell_polarity,subclass,pre_syn_count,post_syn_count,unique_pre_syn_target_count,unique_post_syn_target_count
5561,5562,391435,864691135780822352,[244912 119136  24358],2022-06-09 14:30:32.002707,L23,inhibitory,BPC,47.0,2768.0,36.0,2427.0
5649,5650,422299,864691135571381797,[257104 114928  21875],2022-06-09 14:30:32.002707,L23,excitatory,23P,18.0,3764.0,13.0,3085.0
6425,6426,389516,864691135427661042,[237568 103104  22263],2022-06-09 14:30:32.002707,L23,excitatory,23P,64.0,2739.0,52.0,2556.0
6467,6468,358791,864691135373706313,[220240 119824  17000],2022-06-09 14:30:32.002707,L23,excitatory,23P,199.0,2975.0,158.0,2792.0
6692,6693,359672,864691136444115331,[213696 118448  23382],2022-06-09 14:30:32.002707,L23,excitatory,23P,67.0,4847.0,51.0,4281.0
7851,7852,486690,864691136487247990,[294448 112496  17757],2022-06-09 14:30:32.002707,L23,inhibitory,BPC,23.0,1691.0,16.0,1568.0
7882,7883,255971,864691135516250579,[172096 113456  17294],2022-06-09 14:30:32.002707,L23,excitatory,23P,116.0,4308.0,99.0,4012.0
7915,7916,325712,864691135748489352,[209136 113376  17905],2022-06-09 14:30:32.002707,L23,excitatory,23P,252.0,3623.0,233.0,3318.0
7930,7931,189180,864691135737634929,[131968 127088  24178],2022-06-09 14:30:32.002707,L23,excitatory,23P,1866.0,4281.0,1377.0,3767.0
8399,8400,357247,864691135113135513,[227856 110208  15942],2022-06-09 14:30:32.002707,L23,excitatory,23P,89.0,4034.0,69.0,3640.0
10152,10153,420667,864691135864244094,[255696 101488  21358],2022-06-09 14:30:32.002707,L23,excitatory,23P,39.0,6906.0,30.0,6201.0
11457,11459,453547,864691136725024630,[269360 114656  17515],2022-06-09 14:30:32.002707,L23,excitatory,23P,34.0,3111.0,26.0,2912.0
12224,12226,358749,864691136050995443,[213232 120160  16971],2022-06-09 14:30:32.002707,L23,excitatory,23P,43.0,3225.0,33.0,2940.0
15128,15131,291722,864691134964428319,[185744 103776  26608],2022-06-09 14:30:32.002707,L23,excitatory,23P,1340.0,6319.0,1058.0,5665.0
15327,15330,26381,864691135571273253,[ 69280 132080  20059],2022-06-09 14:30:32.002707,L23,excitatory,23P,21.0,588.0,20.0,535.0
15537,15540,189137,864691135341053381,[140208 124336  24049],2022-06-09 14:30:32.002707,L23,excitatory,23P,269.0,4238.0,217.0,3727.0
17639,17643,222795,864691135758851150,[157072 120800  21396],2022-06-09 14:30:32.002707,L23,excitatory,23P,224.0,3686.0,196.0,3237.0
18391,18395,420410,864691136903026610,[258848 109616  18779],2022-06-09 14:30:32.002707,L23,excitatory,23P,87.0,3781.0,71.0,3476.0
18481,18485,361799,864691135617778319,[224176 128848  24373],2022-06-09 14:30:32.002707,L23,excitatory,23P,47.0,2936.0,42.0,2649.0
19095,19100,224715,864691134964627487,[154016 132432  24655],2022-06-09 14:30:32.002707,L23,excitatory,23P,418.0,5035.0,354.0,4376.0
20097,20102,452894,864691135864467582,[273168 104144  24248],2022-06-09 14:30:32.002707,L23,inhibitory,BC,34.0,8461.0,13.0,7258.0
24964,24973,189801,864691135345191071,[141328 134896  16337],2022-06-09 14:30:32.002707,L23,excitatory,23P,58.0,3834.0,47.0,3537.0
25478,25488,553777,864691136123744294,[311872 115072  24436],2022-06-09 14:30:32.002707,L23,excitatory,23P,15.0,3342.0,8.0,3003.0
25661,25672,553763,864691136116177828,[327024 116768  24093],2022-06-09 14:30:32.002707,L23,excitatory,23P,40.0,4714.0,24.0,4124.0
25688,25699,552435,864691136443747971,[318272  99920  26663],2022-06-09 14:30:32.002707,L23,excitatory,23P,132.0,2757.0,110.0,2487.0
25988,25999,294539,864691135516165075,[181216 134624  21266],2022-06-09 14:30:32.002707,L23,excitatory,23P,194.0,5779.0,163.0,4988.0
25991,26002,294828,864691135488572218,[185760 131840  23334],2022-06-09 14:30:32.002707,L23,excitatory,23P,225.0,3773.0,199.0,3390.0
26006,26017,422453,864691135194477098,[254448 111984  23522],2022-06-09 14:30:32.002707,L23,excitatory,23P,401.0,7676.0,339.0,6631.0
26322,26333,153220,864691135385349717,[120224 116352  19875],2022-06-09 14:30:32.002707,L23,excitatory,23P,30.0,1664.0,25.0,1559.0
26995,27007,67312,864691136824991716,[ 98032 133712  17263],2022-06-09 14:30:32.002707,L23,excitatory,23P,57.0,3574.0,50.0,3238.0
31262,31277,391912,864691135754555090,[232112 132176  15759],2022-06-09 14:30:32.002707,L23,excitatory,23P,167.0,2623.0,143.0,2399.0
32941,32957,454456,864691136699051382,[265728 117280  24258],2022-06-09 14:30:32.002707,L23,inhibitory,BPC,18.0,2598.0,12.0,2290.0
33105,33121,223367,864691135100179232,[152320 112032  27183],2022-06-09 14:30:32.002707,L23,excitatory,23P,302.0,2007.0,211.0,1807.0
34587,34604,608061,864691136334327475,[350240 109744  17980],2022-06-09 14:30:32.002707,L23,excitatory,23P,36.0,3915.0,26.0,3650.0
37999,38016,420942,864691135582028397,[254656  97200  24913],2022-06-09 14:30:32.002707,L23,excitatory,23P,143.0,3708.0,126.0,3332.0
38024,38041,454315,864691136876281454,[263952 120432  23789],2022-06-09 14:30:32.002707,L23,excitatory,23P,137.0,5055.0,121.0,4432.0
38118,38135,291831,864691135581099204,[180192 121728  15154],2022-06-09 14:30:32.002707,L23,excitatory,23P,64.0,1660.0,55.0,1458.0
38126,38143,190736,864691135761547574,[139616 141376  22466],2022-06-09 14:30:32.002707,L23,excitatory,23P,574.0,3946.0,518.0,3534.0
38644,38661,224236,864691135494032784,[153968 127840  20868],2022-06-09 14:30:32.002707,L23,excitatory,23P,47.0,1822.0,46.0,1615.0
39934,39953,258656,864691135274395877,[166448 133840  24326],2022-06-09 14:30:32.002707,L23,excitatory,23P,284.0,4357.0,170.0,3784.0
