,Unnamed: 0,id,pt_root_id,pt_position,timestamp,layer,cell_polarity,subclass,pre_syn_count,post_syn_count,unique_pre_syn_target_count,unique_post_syn_target_count
17,17,587203,864691135117818589,[331776 168544  18409],2022-06-09 14:30:32.002707,L5,excitatory,5P-IT,413.0,8022.0,367.0,6933.0
233,233,265576,864691135565007191,[166224 191952  26656],2022-06-09 14:30:32.002707,L5,inhibitory,BC,5039.0,25089.0,3415.0,19238.0
463,463,430581,864691135571535909,[251264 187328  21188],2022-06-09 14:30:32.002707,L5,inhibitory,BC,4221.0,5496.0,2490.0,4395.0
671,671,560316,864691135590302731,[322544 189632  17462],2022-06-09 14:30:32.002707,L5,inhibitory,MC,116.0,6093.0,89.0,5410.0
1335,1335,364787,864691135593502763,[216832 170320  17098],2022-06-09 14:30:32.002707,L5,excitatory,4P,233.0,3394.0,200.0,2908.0
5381,5382,79515,864691136065555352,[ 93936 206656  19265],2022-06-09 14:30:32.002707,L5,excitatory,5P-IT,17.0,704.0,9.0,610.0
5683,5684,616634,864691135509062386,[347904 173696  23923],2022-06-09 14:30:32.002707,L5,inhibitory,MC,30.0,6474.0,23.0,5611.0
5708,5709,591591,864691135403713774,[333424 196576  26774],2022-06-09 14:30:32.002707,L5,excitatory,6P-IT,63.0,2576.0,44.0,2213.0
5868,5869,527991,864691136105779929,[310800 187904  26760],2022-06-09 14:30:32.002707,L5,excitatory,5P-PT,152.0,8159.0,128.0,6959.0
7480,7481,395650,864691135445561234,[232016 165472  15451],2022-06-09 14:30:32.002707,L5,excitatory,4P,150.0,1577.0,131.0,1403.0
7603,7604,495643,864691136361498338,[294240 187488  23963],2022-06-09 14:30:32.002707,L5,excitatory,5P-NP,245.0,656.0,205.0,620.0
7666,7667,234514,864691137019964014,[148048 213968  21156],2022-06-09 14:30:32.002707,L5,inhibitory,BC,2849.0,7289.0,1710.0,6308.0
8103,8104,370215,864691136672660103,[215584 193776  23445],2022-06-09 14:30:32.002707,L5,excitatory,5P-IT,267.0,2554.0,225.0,2175.0
12719,12721,263245,864691135565007191,[172448 170000  24378],2022-06-09 14:30:32.002707,L4,excitatory,4P,5039.0,25089.0,3415.0,19238.0
13303,13305,334326,864691135953792008,[198544 180816  15758],2022-06-09 14:30:32.002707,L5,excitatory,5P-IT,36.0,1255.0,24.0,1144.0
15194,15197,265611,864691135565007191,[170432 187616  26709],2022-06-09 14:30:32.002707,L5,excitatory,5P-PT,5039.0,25089.0,3415.0,19238.0
17545,17549,660842,864691135617750671,[362128 171968  19545],2022-06-09 14:30:32.002707,L5,excitatory,5P-IT,104.0,4847.0,75.0,4260.0
21063,21068,199759,864691136039810558,[136064 206832  25291],2022-06-09 14:30:32.002707,L5,excitatory,5P-IT,243.0,8738.0,186.0,6899.0
