,Unnamed: 0,id,pt_root_id,pt_position,timestamp,layer,cell_polarity,subclass,pre_syn_count,post_syn_count,unique_pre_syn_target_count,unique_post_syn_target_count
1,1,113721,864691135366988025,[110208 153664  23546],2022-06-09 14:30:32.002707,L4,excitatory,4P,28.0,2203.0,21.0,1844.0
87,87,554275,864691135732558996,[318144 139216  15793],2022-06-09 14:30:32.002707,L4,excitatory,4P,2375.0,3035.0,1445.0,2697.0
445,445,117790,864691135614417867,[113424 173328  25237],2022-06-09 14:30:32.002707,L4,excitatory,23P,90.0,1418.0,79.0,1141.0
1283,1283,225398,864691136090907060,[150576 154000  17165],2022-06-09 14:30:32.002707,L4,excitatory,4P,425.0,2719.0,352.0,2283.0
3068,3069,298130,864691135134710041,[186336 160928  17407],2022-06-09 14:30:32.002707,L4,excitatory,4P,80.0,2686.0,67.0,2277.0
4321,4322,259935,864691135467938188,[175056 154080  17369],2022-06-09 14:30:32.002707,L4,excitatory,4P,294.0,1143.0,244.0,1018.0
4328,4329,366196,864691136602223313,[227104 161632  24490],2022-06-09 14:30:32.002707,L4,excitatory,4P,37.0,2029.0,29.0,1684.0
4835,4836,457751,864691136590913910,[268768 154016  22439],2022-06-09 14:30:32.002707,L4,excitatory,4P,53.0,2962.0,43.0,2388.0
4891,4892,493227,864691136134430603,[282432 160688  21168],2022-06-09 14:30:32.002707,L4,excitatory,5P-IT,533.0,3850.0,442.0,3235.0
19295,19300,360807,864691135615781225,[222288 140704  17709],2022-06-09 14:30:32.002707,L4,inhibitory,NGC,721.0,3856.0,629.0,3329.0
19298,19303,226326,864691135809853388,[159568 150464  22212],2022-06-09 14:30:32.002707,L4,excitatory,4P,136.0,3701.0,114.0,3198.0
19299,19304,457103,864691135012563190,[273376 147968  17540],2022-06-09 14:30:32.002707,L4,excitatory,4P,248.0,2457.0,208.0,2042.0
19302,19307,70172,864691135700281211,[ 88192 143872  15847],2022-06-09 14:30:32.002707,L4,excitatory,23P,56.0,1188.0,49.0,1070.0
22150,22158,491872,864691136723491325,[287264 152176  26478],2022-06-09 14:30:32.002707,L4,excitatory,4P,16.0,1197.0,15.0,1031.0
22536,22544,610973,864691135593619243,[345952 120976  23861],2022-06-09 14:30:32.002707,L4,excitatory,23P,464.0,6757.0,410.0,5958.0
22623,22631,330733,864691136422838831,[212272 155360  23092],2022-06-09 14:30:32.002707,L4,excitatory,4P,177.0,1865.0,155.0,1612.0
23686,23695,328605,864691137054006902,[207936 136752  23961],2022-06-09 14:30:32.002707,L4,excitatory,23P,236.0,6378.0,203.0,5360.0
23824,23833,393019,864691135345246367,[241712 138640  23361],2022-06-09 14:30:32.002707,L4,excitatory,23P,26.0,2218.0,24.0,1900.0
24182,24191,193487,864691135772131579,[135680 156640  27111],2022-06-09 14:30:32.002707,L4,excitatory,4P,193.0,1095.0,154.0,953.0
27673,27685,588022,864691136031795643,[336816 160560  26327],2022-06-09 14:30:32.002707,L5,excitatory,5P-IT,496.0,8687.0,421.0,7665.0
28445,28457,329285,864691136048170120,[207088 148544  15415],2022-06-09 14:30:32.002707,L4,excitatory,4P,35.0,1544.0,31.0,1350.0
31295,31310,363596,864691134940152931,[214144 150208  22307],2022-06-09 14:30:32.002707,L4,excitatory,4P,18.0,1250.0,17.0,1118.0
31910,31925,394915,864691136866902638,[242240 153536  22174],2022-06-09 14:30:32.002707,L4,inhibitory,MC,3730.0,8826.0,1988.0,7330.0
35018,35035,557095,864691135462734398,[314944 147248  25441],2022-06-09 14:30:32.002707,L4,excitatory,4P,128.0,2607.0,107.0,2085.0
35276,35293,522892,864691135875982931,[303408 151264  25923],2022-06-09 14:30:32.002707,L4,excitatory,4P,124.0,2122.0,110.0,1872.0
35604,35621,457100,864691135776606560,[272896 150528  17288],2022-06-09 14:30:32.002707,L4,inhibitory,BC,2027.0,4455.0,1273.0,3621.0
42901,42922,582738,864691136031795643,[333072 124720  24154],2022-06-09 14:30:32.002707,L4,excitatory,23P,496.0,8687.0,421.0,7665.0
46312,46334,488525,864691136134418571,[279424 138128  18173],2022-06-09 14:30:32.002707,L4,excitatory,23P,68.0,1279.0,57.0,1154.0
47164,47186,228510,864691136236655119,[157840 163248  22961],2022-06-09 14:30:32.002707,L4,excitatory,4P,389.0,1197.0,331.0,1033.0
47169,47191,194225,864691135445838738,[144672 166048  17646],2022-06-09 14:30:32.002707,L4,inhibitory,MC,56.0,7908.0,30.0,6776.0
47179,47201,260505,864691135386843521,[168448 154320  20451],2022-06-09 14:30:32.002707,L4,inhibitory,MC,7709.0,7596.0,3307.0,6421.0
47183,47205,263105,864691135081710583,[167104 162112  24012],2022-06-09 14:30:32.002707,L4,excitatory,4P,166.0,1741.0,141.0,1455.0
47187,47209,585107,864691136436858782,[333040 149216  16940],2022-06-09 14:30:32.002707,L4,excitatory,4P,294.0,3623.0,251.0,3189.0
47951,47973,228689,864691135577200901,[149264 166880  24579],2022-06-09 14:30:32.002707,L4,excitatory,4P,361.0,4111.0,312.0,3283.0
49432,49454,553620,864691135781142096,[314576 125776  23106],2022-06-09 14:30:32.002707,L4,excitatory,23P,250.0,4429.0,214.0,4013.0
49793,49815,428022,864691135345160095,[250544 160112  19347],2022-06-09 14:30:32.002707,L4,excitatory,4P,45.0,1503.0,39.0,1344.0
49818,49840,262853,864691136143898676,[166048 163632  21954],2022-06-09 14:30:32.002707,L4,inhibitory,MC,15229.0,9805.0,7524.0,7799.0
49833,49855,426198,864691135754582994,[246560 154992  21936],2022-06-09 14:30:32.002707,L4,excitatory,4P,35.0,2234.0,32.0,1802.0
50539,50562,293737,864691135586618052,[191440 130288  15736],2022-06-09 14:30:32.002707,L4,excitatory,23P,49.0,2671.0,42.0,2402.0
53420,53444,611690,864691135476514216,[345712 143264  16145],2022-06-09 14:30:32.002707,L4,excitatory,4P,90.0,3307.0,73.0,2865.0
53501,53525,328749,864691135013326230,[208960 130384  24423],2022-06-09 14:30:32.002707,L4,excitatory,23P,353.0,3348.0,311.0,2955.0
54355,54379,328983,864691135357815794,[211008 138528  26169],2022-06-09 14:30:32.002707,L4,excitatory,23P,404.0,4884.0,346.0,4192.0
54362,54386,228923,864691135303158439,[157376 167040  26089],2022-06-09 14:30:32.002707,L4,excitatory,4P,237.0,2559.0,203.0,2115.0
54914,54938,490241,864691135994381258,[292384 155744  16885],2022-06-09 14:30:32.002707,L4,excitatory,4P,328.0,2434.0,280.0,2127.0
56491,56516,364055,864691135207765369,[214544 149456  26042],2022-06-09 14:30:32.002707,L4,excitatory,4P,26.0,1377.0,24.0,1188.0
56953,56978,195733,864691135740649579,[141584 167136  27139],2022-06-09 14:30:32.002707,L4,excitatory,4P,213.0,1301.0,158.0,1085.0
56971,56996,612913,864691135348295895,[356992 135024  24100],2022-06-09 14:30:32.002707,L4,inhibitory,BC,53.0,7457.0,38.0,6500.0
57188,57213,653458,864691135748600361,[364144 140256  22457],2022-06-09 14:30:32.002707,L4,excitatory,4P,201.0,3645.0,167.0,3074.0
57320,57345,159993,864691135753709517,[125776 174288  23527],2022-06-09 14:30:32.002707,L4,excitatory,4P,395.0,2523.0,339.0,2084.0
57613,57638,695943,864691135970993155,[391536 138544  23418],2022-06-09 14:30:32.002707,L4,excitatory,4P,8.0,500.0,5.0,407.0
58312,58337,195633,864691135569352326,[147216 161296  25757],2022-06-09 14:30:32.002707,L4,excitatory,4P,469.0,2427.0,392.0,1972.0
58508,58533,490702,864691135012437238,[294544 146976  19108],2022-06-09 14:30:32.002707,L4,excitatory,4P,103.0,1624.0,94.0,1438.0
58630,58655,490424,864691135864750044,[291040 153968  17861],2022-06-09 14:30:32.002707,L4,excitatory,4P,48.0,1292.0,39.0,1155.0
59012,59038,262054,864691136004717514,[166480 166144  18461],2022-06-09 14:30:32.002707,L4,excitatory,4P,425.0,1131.0,357.0,1015.0
59384,59410,425851,864691135341317829,[246992 146832  19969],2022-06-09 14:30:32.002707,L4,excitatory,4P,90.0,1163.0,68.0,995.0
59501,59527,423291,864691136022284168,[247504 141632  16905],2022-06-09 14:30:32.002707,L4,excitatory,4P,49.0,1610.0,45.0,1456.0
60175,60201,555023,864691135717652884,[324672 140128  21612],2022-06-09 14:30:32.002707,L4,excitatory,4P,7.0,1729.0,5.0,1548.0
60358,60384,425540,864691135926315988,[248928 153584  18583],2022-06-09 14:30:32.002707,L4,excitatory,4P,28.0,2503.0,25.0,2134.0
60517,60543,585302,864691135782807603,[328384 152144  17925],2022-06-09 14:30:32.002707,L4,excitatory,4P,206.0,2627.0,180.0,2237.0
60886,60912,428121,864691135619682115,[258848 162656  19177],2022-06-09 14:30:32.002707,L4,inhibitory,BC,3016.0,4623.0,1462.0,3747.0
61010,61036,392879,864691135576938501,[237312 141488  21931],2022-06-09 14:30:32.002707,L4,excitatory,4P,181.0,2777.0,159.0,2432.0
61138,61165,425166,864691134939980643,[259120 157600  16083],2022-06-09 14:30:32.002707,L4,excitatory,4P,553.0,2743.0,480.0,2351.0
61263,61290,226941,864691135593710379,[163056 146128  27200],2022-06-09 14:30:32.002707,L4,excitatory,23P,8.0,890.0,8.0,784.0
61271,61298,296230,864691135210371008,[195312 149504  18674],2022-06-09 14:30:32.002707,L4,excitatory,23P,69.0,1240.0,51.0,1109.0
