,id,pt_root_id,pt_position,timestamp,layer,cell_polarity,subclass,pre_syn_count,post_syn_count,unique_pre_syn_target_count,unique_post_syn_target_count,DOM_labels
4,495262,864691135991244746,[284848 187728  21257],2022-06-09 14:30:32.002707,L5,excitatory,5P-IT,225.0,3145.0,193.0,2829.0,1
24,462627,864691136913511534,[274128 191568  25437],2022-06-09 14:30:32.002707,L5,excitatory,5P-PT,616.0,6760.0,465.0,5530.0,1
46,119675,864691135585421508,[111712 182000  17201],2022-06-09 14:30:32.002707,L5,inhibitory,NGC,161.0,3674.0,136.0,3247.0,1
47,196505,864691136903372466,[143856 186896  17485],2022-06-09 14:30:32.002707,L5,excitatory,NGC,279.0,3888.0,246.0,3485.0,1
56,531443,864691135718207892,[299648 198816  26041],2022-06-09 14:30:32.002707,L5,excitatory,5P-PT,892.0,5068.0,741.0,4352.0,1
60,494488,864691136116374692,[278688 182688  17767],2022-06-09 14:30:32.002707,L5,excitatory,5P-PT,177.0,8459.0,116.0,7356.0,1
65,425280,864691136587818614,[254272 159440  16864],2022-06-09 14:30:32.002707,L5,excitatory,4P,314.0,2844.0,277.0,2426.0,1
68,300608,864691136273080510,[180800 191360  19427],2022-06-09 14:30:32.002707,L5,excitatory,NGC,175.0,3491.0,139.0,3147.0,1
91,369214,864691135418097906,[220912 201424  16943],2022-06-09 14:30:32.002707,L5,excitatory,5P-IT,346.0,2722.0,297.0,2445.0,1
119,497921,864691135983631562,[291056 197120  26929],2022-06-09 14:30:32.002707,L5,excitatory,4P,852.0,1153.0,715.0,1032.0,1
128,427934,864691136388269943,[253760 167040  18516],2022-06-09 14:30:32.002707,L5,excitatory,4P,420.0,2497.0,350.0,2167.0,1
132,230782,864691135953792776,[158624 181952  23490],2022-06-09 14:30:32.002707,L5,excitatory,5P-IT,581.0,2862.0,495.0,2452.0,1
142,337742,864691137196928321,[196768 202000  21356],2022-06-09 14:30:32.002707,L5,excitatory,5P-IT,139.0,1985.0,112.0,1737.0,1
143,199475,864691135307078470,[141088 198608  23277],2022-06-09 14:30:32.002707,L5,excitatory,5P-NP,567.0,991.0,506.0,942.0,1
144,333216,864691135544413736,[212432 174112  22385],2022-06-09 14:30:32.002707,L5,excitatory,5P-IT,968.0,4048.0,796.0,3464.0,1
146,700119,864691135771706187,[389600 151808  26113],2022-06-09 14:30:32.002707,L5,excitatory,4P,69.0,243.0,59.0,194.0,1
153,231117,864691135269694629,[152528 181216  26556],2022-06-09 14:30:32.002707,L5,excitatory,5P-IT,315.0,1710.0,259.0,1461.0,1
154,233200,864691136618826893,[156320 198768  26404],2022-06-09 14:30:32.002707,L5,excitatory,5P-PT,533.0,8290.0,388.0,6696.0,1
158,458950,864691135925525262,[275088 162544  16599],2022-06-09 14:30:32.002707,L5,excitatory,4P,17.0,2142.0,11.0,1849.0,1
159,397972,864691135467590028,[229504 179136  16635],2022-06-09 14:30:32.002707,L5,excitatory,NGC,105.0,3185.0,87.0,2763.0,1
161,402155,864691135396578337,[237664 196640  25822],2022-06-09 14:30:32.002707,L5,excitatory,5P-IT,11.0,2744.0,6.0,2410.0,1
163,120311,864691136273261246,[113248 182240  20993],2022-06-09 14:30:32.002707,L5,excitatory,23P,255.0,1063.0,212.0,940.0,1
165,615440,864691135679772914,[346592 161392  15371],2022-06-09 14:30:32.002707,L5,inhibitory,BPC,16.0,4316.0,8.0,3921.0,1
172,268976,864691135374059081,[167072 211200  19037],2022-06-09 14:30:32.002707,L5,inhibitory,BC,2642.0,5576.0,1329.0,4944.0,1
173,587527,864691135538418290,[332368 176176  21118],2022-06-09 14:30:32.002707,L5,excitatory,MC,22.0,3864.0,16.0,3548.0,1
177,227538,864691135527484100,[157440 175952  17707],2022-06-09 14:30:32.002707,L5,excitatory,4P,532.0,2450.0,456.0,2015.0,1
181,366658,864691136618651533,[224320 182096  15342],2022-06-09 14:30:32.002707,L5,excitatory,5P-IT,109.0,1173.0,80.0,1067.0,1
183,264537,864691135815726927,[179968 188640  19262],2022-06-09 14:30:32.002707,L5,inhibitory,BC,3376.0,11654.0,2156.0,9709.0,1
185,556275,864691135939971238,[314912 157072  19216],2022-06-09 14:30:32.002707,L5,inhibitory,BC,2721.0,8627.0,1641.0,7309.0,1
189,165107,864691135753973709,[123232 204640  22698],2022-06-09 14:30:32.002707,L5,excitatory,5P-PT,186.0,8922.0,153.0,7055.0,1
190,614685,864691136688467965,[359216 152096  21954],2022-06-09 14:30:32.002707,L5,excitatory,4P,6.0,1056.0,4.0,925.0,1
195,460914,864691135358853208,[277152 179152  15153],2022-06-09 14:30:32.002707,L5,excitatory,4P,32.0,1419.0,21.0,1185.0,1
