,id,pt_root_id,pt_position,timestamp,layer,cell_polarity,subclass,pre_syn_count,post_syn_count,unique_pre_syn_target_count,unique_post_syn_target_count,DOM_labels
2,518339,864691135733291156,[305536 121200  20212],2022-06-09 14:30:32.002707,L23,excitatory,23P,41.0,3921.0,31.0,3624.0,1
3,517979,864691135974854346,[295200 123808  17670],2022-06-09 14:30:32.002707,L23,excitatory,23P,133.0,6305.0,93.0,5375.0,1
5,360132,864691135396729889,[216112 122000  26320],2022-06-09 14:30:32.002707,L23,excitatory,23P,108.0,2527.0,83.0,2326.0,1
6,610723,864691135544615976,[345568 110960  21799],2022-06-09 14:30:32.002707,L23,excitatory,23P,52.0,4023.0,41.0,3652.0,1
17,106826,864691136039346686,[107392 117232  20335],2022-06-09 14:30:32.002707,L23,excitatory,23P,187.0,2956.0,163.0,2623.0,1
21,152972,864691135841348835,[126720 115888  17274],2022-06-09 14:30:32.002707,L23,excitatory,23P,130.0,2382.0,111.0,2231.0,1
22,610218,864691135494048912,[356240 126128  17862],2022-06-09 14:30:32.002707,L23,excitatory,23P,218.0,4493.0,186.0,4065.0,1
23,489152,864691135915272550,[292464 128160  22457],2022-06-09 14:30:32.002707,L23,excitatory,23P,121.0,5306.0,100.0,4686.0,1
24,554238,864691135692948415,[314832 127328  16303],2022-06-09 14:30:32.002707,L23,excitatory,23P,357.0,3583.0,285.0,3366.0,1
25,292602,864691135781198672,[193440 126192  19719],2022-06-09 14:30:32.002707,L23,excitatory,23P,155.0,10386.0,127.0,8482.0,1
27,257212,864691135338113510,[169440 122160  26911],2022-06-09 14:30:32.002707,L23,excitatory,23P,385.0,4419.0,331.0,3904.0,1
28,453530,864691135345514655,[264848 123440  17401],2022-06-09 14:30:32.002707,L23,excitatory,23P,42.0,3133.0,29.0,2882.0,1
29,487833,864691136753133174,[292352 124832  26537],2022-06-09 14:30:32.002707,L23,inhibitory,BPC,223.0,2160.0,159.0,1805.0,1
32,581320,864691135367479289,[336096  96752  24221],2022-06-09 14:30:32.002707,L23,excitatory,23P,179.0,7284.0,153.0,6632.0,1
33,582110,864691136545356706,[342096 118800  18459],2022-06-09 14:30:32.002707,L23,inhibitory,BC,3350.0,10289.0,1883.0,9091.0,1
35,221954,864691135687023584,[151200 122400  15600],2022-06-09 14:30:32.002707,L23,excitatory,23P,46.0,2348.0,41.0,2222.0,1
36,222913,864691136951549407,[160848 120592  22372],2022-06-09 14:30:32.002707,L23,excitatory,23P,26.0,2762.0,18.0,2598.0,1
39,553264,864691135382802650,[313328 115232  20306],2022-06-09 14:30:32.002707,L23,excitatory,23P,392.0,5963.0,334.0,5221.0,1
40,106872,864691135568917126,[114112 112960  20913],2022-06-09 14:30:32.002707,L23,excitatory,23P,23.0,1233.0,20.0,1155.0,1
45,292426,864691135012614646,[195664 115056  18673],2022-06-09 14:30:32.002707,L23,excitatory,23P,33.0,2409.0,28.0,2273.0,1
46,224536,864691135755116498,[162592 135136  23232],2022-06-09 14:30:32.002707,L23,excitatory,23P,239.0,5095.0,200.0,4387.0,1
48,324482,864691135162555949,[202368 105360  23878],2022-06-09 14:30:32.002707,L23,excitatory,23P,252.0,2840.0,207.0,2552.0,1
50,66972,864691136004775626,[ 92864 141872  15627],2022-06-09 14:30:32.002707,L23,excitatory,23P,56.0,1717.0,53.0,1589.0,1
52,392792,864691135754611666,[234320 133600  21098],2022-06-09 14:30:32.002707,L23,excitatory,23P,379.0,4718.0,327.0,4184.0,1
53,189612,864691135446638932,[131360 136448  15573],2022-06-09 14:30:32.002707,L23,excitatory,23P,60.0,3026.0,49.0,2718.0,1
55,486338,864691135584579826,[284224 113776  15464],2022-06-09 14:30:32.002707,L23,excitatory,23P,16.0,2665.0,12.0,2458.0,1
58,190091,864691136301823639,[134256 136064  18447],2022-06-09 14:30:32.002707,L23,excitatory,23P,107.0,2551.0,94.0,2314.0,1
59,326574,864691135988287744,[199712 118192  24288],2022-06-09 14:30:32.002707,L23,excitatory,23P,140.0,2932.0,120.0,2700.0,1
60,63929,864691135782422579,[ 88816 125808  18172],2022-06-09 14:30:32.002707,L23,excitatory,23P,239.0,1327.0,216.0,1261.0,1
61,113332,864691136031751355,[112384 143984  22379],2022-06-09 14:30:32.002707,L23,excitatory,23P,38.0,3366.0,30.0,2896.0,1
63,648537,864691136124060454,[376768 110672  25706],2022-06-09 14:30:32.002707,L23,inhibitory,BC,846.0,8236.0,532.0,6879.0,1
65,607363,864691134947438588,[343984  94352  24563],2022-06-09 14:30:32.002707,L23,excitatory,23P,44.0,3303.0,39.0,3083.0,1
68,221197,864691135585332860,[163504 109824  21821],2022-06-09 14:30:32.002707,L23,inhibitory,NGC,34.0,2404.0,28.0,2255.0,1
69,486707,864691135386857601,[279808 112016  18094],2022-06-09 14:30:32.002707,L23,excitatory,23P,36.0,2482.0,26.0,2306.0,1
70,609549,864691136056375000,[357328  96848  26242],2022-06-09 14:30:32.002707,L23,excitatory,23P,37.0,2922.0,32.0,2706.0,1
74,294240,864691135472024370,[181648 136432  19041],2022-06-09 14:30:32.002707,L23,excitatory,23P,314.0,6442.0,265.0,5725.0,1
75,392800,864691135666706372,[236192 130384  21329],2022-06-09 14:30:32.002707,L23,excitatory,23P,288.0,1526.0,260.0,1301.0,1
79,393408,864691135748985385,[232208 128064  26552],2022-06-09 14:30:32.002707,L23,excitatory,23P,26.0,2300.0,19.0,2012.0,1
80,222732,864691135654094274,[160992 121728  20736],2022-06-09 14:30:32.002707,L23,excitatory,23P,70.0,2756.0,61.0,2558.0,1
82,485294,864691135815481423,[289600 102784  16883],2022-06-09 14:30:32.002707,L23,excitatory,23P,137.0,3745.0,114.0,3542.0,1
83,63675,864691136041066582,[ 95088 122544  15920],2022-06-09 14:30:32.002707,L23,excitatory,23P,58.0,1711.0,51.0,1598.0,1
84,107341,864691135497968915,[107056 122448  24558],2022-06-09 14:30:32.002707,L23,excitatory,23P,130.0,2090.0,120.0,1822.0,1
86,611511,864691135303172263,[356864 117376  27355],2022-06-09 14:30:32.002707,L23,excitatory,23P,109.0,3268.0,100.0,2919.0,1
87,421101,864691135785760964,[259904  99008  25649],2022-06-09 14:30:32.002707,L23,excitatory,23P,45.0,3883.0,39.0,3587.0,1
91,553992,864691135360140615,[327392 123152  25865],2022-06-09 14:30:32.002707,L23,excitatory,23P,272.0,4803.0,245.0,4385.0,1
95,259012,864691136091301300,[175488 136064  24589],2022-06-09 14:30:32.002707,L23,inhibitory,MC,2370.0,8468.0,1489.0,7196.0,1
