,id,pt_root_id,pt_position,timestamp,layer,cell_polarity,subclass,pre_syn_count,post_syn_count,unique_pre_syn_target_count,unique_post_syn_target_count,DOM_labels
0,204710,864691135497604883,[134208 247184  18598],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,111.0,2125.0,95.0,1924.0,1
11,717053,864691134988430970,[390144 222720  23159],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,117.0,714.0,99.0,647.0,1
12,719779,864691136116277924,[378256 240304  19202],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,15.0,118.0,9.0,89.0,1
15,202680,864691135207767417,[143184 238464  17307],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,129.0,1878.0,100.0,1723.0,1
17,268275,864691136965839822,[167840 217136  16396],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,21.0,2234.0,10.0,2010.0,1
20,340242,864691135502243677,[203264 220192  24679],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,235.0,3373.0,208.0,2987.0,1
22,202833,864691135415481530,[144528 229616  18722],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,46.0,2760.0,35.0,2403.0,1
35,207673,864691136925335370,[145216 259456  21084],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,234.0,1543.0,195.0,1379.0,1
46,304515,864691136990290325,[195728 223600  18627],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,100.0,1904.0,80.0,1738.0,1
53,675616,864691135718795057,[366176 231216  22087],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,11.0,1085.0,8.0,976.0,1
58,436081,864691135939848705,[259408 236992  21036],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,35.0,1466.0,33.0,1361.0,1
62,169378,864691137196874817,[115712 234672  19925],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,31.0,1597.0,25.0,1443.0,1
63,309721,864691135437910770,[184160 250976  26295],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,110.0,1400.0,99.0,1250.0,1
64,533153,864691135915191142,[299648 224304  24170],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,42.0,1934.0,32.0,1737.0,1
66,498873,864691135564891415,[294816 216240  18822],2022-06-09 14:30:32.002707,L6,inhibitory,BC,268.0,5669.0,219.0,5219.0,1
89,239054,864691135341146545,[163136 247264  23979],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,35.0,1949.0,27.0,1739.0,1
90,592397,864691136965823438,[332512 220160  18607],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,81.0,2179.0,73.0,2006.0,1
94,625860,864691136194320716,[344768 243968  22612],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,243.0,1518.0,190.0,1300.0,1
119,436129,864691135888534665,[252144 240976  21115],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,52.0,1519.0,44.0,1419.0,1
122,563105,864691136534303906,[320944 200048  24599],2022-06-09 14:30:32.002707,L6,inhibitory,MC,4358.0,6203.0,2714.0,5209.0,1
124,203609,864691135876335443,[131184 234960  24684],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,294.0,2111.0,247.0,1824.0,1
127,343692,864691135754527954,[199168 249088  19277],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,73.0,1566.0,54.0,1451.0,1
128,592504,864691136209136572,[331840 219712  19016],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,44.0,1888.0,36.0,1754.0,1
130,503330,864691135122663463,[287792 247472  24409],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,69.0,2243.0,55.0,2023.0,1
