,id,pt_root_id,pt_position,timestamp,layer,cell_polarity,subclass,pre_syn_count,post_syn_count,unique_pre_syn_target_count,unique_post_syn_target_count,DOM_labels
7,612818,864691135965599690,[344064 132688  23873],2022-06-09 14:30:32.002707,L4,excitatory,4P,266.0,5310.0,230.0,4580.0,1
11,261392,864691135883891312,[178128 157872  27288],2022-06-09 14:30:32.002707,L4,excitatory,4P,109.0,2501.0,88.0,2149.0,1
14,113155,864691135809476044,[101552 149616  21520],2022-06-09 14:30:32.002707,L4,excitatory,23P,48.0,561.0,44.0,505.0,1
21,394887,864691135939866534,[237744 143680  22129],2022-06-09 14:30:32.002707,L4,excitatory,4P,77.0,3172.0,64.0,2667.0,1
22,490967,864691135715236378,[285952 145968  20862],2022-06-09 14:30:32.002707,L4,excitatory,4P,328.0,2914.0,282.0,2508.0,1
23,259875,864691135986885635,[168384 153600  17888],2022-06-09 14:30:32.002707,L4,excitatory,4P,548.0,2267.0,481.0,1994.0,1
26,227779,864691136226948945,[153040 172368  19219],2022-06-09 14:30:32.002707,L4,excitatory,4P,244.0,3168.0,214.0,2744.0,1
28,424705,864691135695975834,[250096 140496  26808],2022-06-09 14:30:32.002707,L4,excitatory,23P,508.0,2086.0,428.0,1785.0,1
29,194718,864691136194110422,[143552 164896  19892],2022-06-09 14:30:32.002707,L4,excitatory,4P,123.0,1755.0,111.0,1563.0,1
30,613811,864691136672229117,[350736 148192  16572],2022-06-09 14:30:32.002707,L4,excitatory,4P,84.0,1395.0,80.0,1272.0,1
32,330194,864691137019764078,[201520 152240  20142],2022-06-09 14:30:32.002707,L4,excitatory,4P,290.0,1211.0,256.0,1024.0,1
34,456143,864691135385185621,[270144 129024  24277],2022-06-09 14:30:32.002707,L4,excitatory,23P,140.0,2644.0,125.0,2310.0,1
35,585522,864691136536766370,[331728 144528  18504],2022-06-09 14:30:32.002707,L4,excitatory,4P,451.0,3464.0,386.0,3122.0,1
37,457210,864691135012509942,[275024 144192  18026],2022-06-09 14:30:32.002707,L4,excitatory,4P,909.0,3008.0,744.0,2573.0,1
39,328633,864691135538047346,[196592 136864  24397],2022-06-09 14:30:32.002707,L4,excitatory,23P,382.0,4348.0,344.0,3644.0,1
40,225253,864691135799738978,[150432 159632  16311],2022-06-09 14:30:32.002707,L4,excitatory,4P,277.0,2795.0,251.0,2349.0,1
41,257659,864691135360169543,[179824 134448  17088],2022-06-09 14:30:32.002707,L4,excitatory,23P,112.0,4558.0,88.0,4096.0,1
