,id,pt_root_id,pt_position,timestamp,layer,cell_polarity,subclass,pre_syn_count,post_syn_count,unique_pre_syn_target_count,unique_post_syn_target_count,DOM_labels
697,452277,864691135526062683,[271920 102640  17587],2022-06-09 14:30:32.002707,L1,excitatory,23P,76.0,3543.0,67.0,3319.0,1
767,323502,864691135660846576,[197744  88144  27141],2022-06-09 14:30:32.002707,L1,excitatory,23P,111.0,5505.0,94.0,4693.0,1
769,580554,864691135939963302,[331888  84352  27491],2022-06-09 14:30:32.002707,L1,excitatory,23P,36.0,1409.0,32.0,1345.0,1
808,255121,864691136521802129,[172256 107072  20992],2022-06-09 14:30:32.002707,L1,excitatory,23P,16.0,2264.0,15.0,2150.0,1
816,580166,864691136617102555,[330096  88704  22534],2022-06-09 14:30:32.002707,L1,excitatory,23P,26.0,2575.0,13.0,2378.0,1
880,551985,864691136309888090,[313760  96480  21998],2022-06-09 14:30:32.002707,L1,excitatory,23P,159.0,6492.0,130.0,5855.0,1
883,516326,864691136773850734,[300096  84864  26327],2022-06-09 14:30:32.002707,L1,inhibitory,MC,187.0,2886.0,160.0,2738.0,1
931,484838,864691135809517004,[282112  86576  24497],2022-06-09 14:30:32.002707,L1,excitatory,23P,129.0,5191.0,108.0,4613.0,1
962,319422,864691135385187669,[198576  91488  16630],2022-06-09 14:30:32.002707,L1,inhibitory,NGC,84.0,2077.0,67.0,1969.0,1
1023,104886,864691136618471565,[108752 106176  21106],2022-06-09 14:30:32.002707,L1,excitatory,23P,25.0,2664.0,21.0,2403.0,1
