,id,pt_root_id,pt_position,timestamp,layer,cell_polarity,subclass,pre_syn_count,post_syn_count,unique_pre_syn_target_count,unique_post_syn_target_count,DONE_labels
2,518339,864691135733291156,[305536 121200  20212],2022-06-09 14:30:32.002707,L23,excitatory,23P,41.0,3921.0,31.0,3624.0,1
4,358680,864691135478435270,[217840 122528  16234],2022-06-09 14:30:32.002707,L23,excitatory,23P,309.0,3863.0,261.0,3534.0,1
6,610723,864691135544615976,[345568 110960  21799],2022-06-09 14:30:32.002707,L23,excitatory,23P,52.0,4023.0,41.0,3652.0,1
8,291161,864691135491709279,[184384 108896  21755],2022-06-09 14:30:32.002707,L23,excitatory,23P,626.0,3649.0,551.0,3368.0,1
10,326760,864691135366925305,[207840 121568  25350],2022-06-09 14:30:32.002707,L23,excitatory,23P,338.0,4223.0,293.0,3832.0,1
11,358859,864691135687086048,[214480 119248  17461],2022-06-09 14:30:32.002707,L23,excitatory,23P,222.0,3858.0,201.0,3484.0,1
21,152972,864691135841348835,[126720 115888  17274],2022-06-09 14:30:32.002707,L23,excitatory,23P,130.0,2382.0,111.0,2231.0,1
22,610218,864691135494048912,[356240 126128  17862],2022-06-09 14:30:32.002707,L23,excitatory,23P,218.0,4493.0,186.0,4065.0,1
23,489152,864691135915272550,[292464 128160  22457],2022-06-09 14:30:32.002707,L23,excitatory,23P,121.0,5306.0,100.0,4686.0,1
25,292602,864691135781198672,[193440 126192  19719],2022-06-09 14:30:32.002707,L23,excitatory,23P,155.0,10386.0,127.0,8482.0,1
27,257212,864691135338113510,[169440 122160  26911],2022-06-09 14:30:32.002707,L23,excitatory,23P,385.0,4419.0,331.0,3904.0,1
29,487833,864691136753133174,[292352 124832  26537],2022-06-09 14:30:32.002707,L23,inhibitory,BPC,223.0,2160.0,159.0,1805.0,1
32,581320,864691135367479289,[336096  96752  24221],2022-06-09 14:30:32.002707,L23,excitatory,23P,179.0,7284.0,153.0,6632.0,1
33,582110,864691136545356706,[342096 118800  18459],2022-06-09 14:30:32.002707,L23,inhibitory,BC,3350.0,10289.0,1883.0,9091.0,1
35,221954,864691135687023584,[151200 122400  15600],2022-06-09 14:30:32.002707,L23,excitatory,23P,46.0,2348.0,41.0,2222.0,1
37,423901,864691136286604483,[255280 127248  21040],2022-06-09 14:30:32.002707,L23,excitatory,23P,259.0,4009.0,233.0,3513.0,1
39,553264,864691135382802650,[313328 115232  20306],2022-06-09 14:30:32.002707,L23,excitatory,23P,392.0,5963.0,334.0,5221.0,1
40,106872,864691135568917126,[114112 112960  20913],2022-06-09 14:30:32.002707,L23,excitatory,23P,23.0,1233.0,20.0,1155.0,1
47,581814,864691135528246770,[341488 116384  16388],2022-06-09 14:30:32.002707,L23,excitatory,23P,63.0,3390.0,54.0,3187.0,1
48,324482,864691135162555949,[202368 105360  23878],2022-06-09 14:30:32.002707,L23,excitatory,23P,252.0,2840.0,207.0,2552.0,1
