,id,pt_root_id,pt_position,timestamp,layer,cell_polarity,subclass,pre_syn_count,post_syn_count,unique_pre_syn_target_count,unique_post_syn_target_count,DONE_labels
2,161428,864691136031647163,[127216 177904  17254],2022-06-09 14:30:32.002707,L5,excitatory,4P,397.0,2813.0,345.0,2490.0,1
4,495262,864691135991244746,[284848 187728  21257],2022-06-09 14:30:32.002707,L5,excitatory,5P-IT,225.0,3145.0,193.0,2829.0,1
7,335341,864691135407314633,[204800 183936  20737],2022-06-09 14:30:32.002707,L5,excitatory,5P-PT,83.0,1860.0,77.0,1679.0,1
10,493008,864691135476436136,[288320 174128  19656],2022-06-09 14:30:32.002707,L5,excitatory,5P-IT,182.0,3486.0,147.0,3091.0,1
12,556095,864691135684601748,[325184 159104  17865],2022-06-09 14:30:32.002707,L5,excitatory,5P-IT,310.0,4067.0,267.0,3587.0,1
13,337613,864691135614294987,[209568 203312  19568],2022-06-09 14:30:32.002707,L5,excitatory,5P-IT,135.0,2285.0,127.0,2074.0,1
14,160953,864691135771724619,[115616 184640  15493],2022-06-09 14:30:32.002707,L5,inhibitory,BC,1266.0,2371.0,851.0,2053.0,1
16,372466,864691135341064645,[221552 212064  24280],2022-06-09 14:30:32.002707,L5,excitatory,6P-IT,30.0,4224.0,19.0,3566.0,1
18,617620,864691134947395068,[346016 189936  17625],2022-06-09 14:30:32.002707,L5,excitatory,5P-IT,90.0,1859.0,70.0,1636.0,1
19,588006,864691136535185058,[328912 170096  26088],2022-06-09 14:30:32.002707,L5,excitatory,5P-IT,439.0,3347.0,368.0,2867.0,1
21,432097,864691135583717240,[257648 202432  19453],2022-06-09 14:30:32.002707,L5,excitatory,6P-IT,168.0,2521.0,148.0,2102.0,1
22,162114,864691135771594491,[117424 192368  22035],2022-06-09 14:30:32.002707,L5,excitatory,5P-IT,58.0,1944.0,52.0,1720.0,1
