,id,pt_root_id,pt_position,timestamp,layer,cell_polarity,subclass,pre_syn_count,post_syn_count,unique_pre_syn_target_count,unique_post_syn_target_count,DONE_labels
2069,200902,864691135501533250,[140272 213872  18098],2022-06-09 14:30:32.002707,L6,excitatory,5P-IT,85.0,2272.0,76.0,1989.0,1
2073,463057,864691136812316275,[271200 197872  15196],2022-06-09 14:30:32.002707,L6,excitatory,5P-IT,34.0,1443.0,24.0,1342.0,1
2074,233709,864691135953747976,[158320 212496  15775],2022-06-09 14:30:32.002707,L6,excitatory,5P-IT,83.0,1653.0,68.0,1467.0,1
2075,405622,864691135988659968,[236816 239888  19701],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,112.0,1435.0,98.0,1309.0,1
2078,372225,864691136008487596,[224336 212592  21996],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,55.0,2865.0,40.0,2548.0,1
2087,202679,864691135341059781,[143424 241184  17841],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,23.0,2141.0,16.0,1919.0,1
2088,408412,864691135382986475,[232224 243552  25524],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,115.0,1861.0,104.0,1703.0,1
2089,669679,864691135526126578,[370128 204880  23147],2022-06-09 14:30:32.002707,L6,excitatory,5P-NP,61.0,806.0,54.0,748.0,1
2095,565430,864691135467967116,[314704 231680  16636],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,72.0,2000.0,48.0,1832.0,1
2099,205895,864691136194169832,[142640 245920  25756],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,35.0,1742.0,21.0,1542.0,1
2102,129829,864691135337703910,[110400 227008  21065],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,48.0,879.0,31.0,767.0,1
2127,273837,864691136109095608,[178896 244624  22415],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,32.0,3560.0,18.0,3180.0,1
2130,765421,864691134884747514,[393264 237504  22146],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,39.0,670.0,24.0,548.0,1
2132,536485,864691136378752469,[299568 243264  22024],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,50.0,960.0,44.0,877.0,1
2135,169600,864691135815818575,[128096 235840  20984],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,19.0,1343.0,14.0,1201.0,1
2137,84412,864691135888488329,[ 96784 236880  19093],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,7.0,290.0,6.0,242.0,1
2141,535070,864691135490607591,[307520 232848  26261],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,69.0,2377.0,55.0,2024.0,1
2145,675988,864691136944582879,[363504 226912  24849],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,108.0,1671.0,92.0,1515.0,1
2148,466737,864691135575386142,[263280 221680  25206],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,314.0,1994.0,265.0,1481.0,1
2149,344453,864691135782731571,[202368 249984  23417],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,164.0,3045.0,117.0,2560.0,1
2150,86990,864691136123786790,[ 96640 242912  18008],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,38.0,853.0,35.0,749.0,1
2152,433629,864691135968884581,[255824 211232  16999],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,109.0,1913.0,90.0,1736.0,1
2155,237129,864691135954120712,[159184 226848  26144],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,328.0,2110.0,265.0,1797.0,1
2156,673372,864691135348735191,[364048 208896  26558],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,167.0,853.0,141.0,633.0,1
2157,168709,864691135501591362,[116880 236336  16655],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,74.0,1404.0,65.0,1276.0,1
2158,340252,864691136618564493,[206080 209744  24431],2022-06-09 14:30:32.002707,L6,inhibitory,MC,1774.0,2790.0,1306.0,2415.0,1
2162,534576,864691136580583842,[306256 236032  22518],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,167.0,3037.0,150.0,2690.0,1
2163,132113,864691135134706713,[106768 241888  16108],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,29.0,761.0,26.0,676.0,1
2170,201109,864691135348309463,[135840 220288  19544],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,20.0,1582.0,16.0,1401.0,1
2173,594209,864691135462733374,[334032 238960  18353],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,114.0,1203.0,96.0,1085.0,1
2174,270424,864691135638969659,[176304 228640  15704],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,11.0,1869.0,4.0,1662.0,1
2175,339793,864691135564866903,[197328 215872  21776],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,150.0,1278.0,128.0,1095.0,1
2178,673230,864691135012382966,[371296 224112  25106],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,195.0,1449.0,165.0,1313.0,1
2183,129354,864691135345219999,[113264 237840  17823],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,14.0,1656.0,8.0,1508.0,1
2185,268865,864691135531072708,[173232 220976  18427],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,86.0,1918.0,77.0,1758.0,1
2186,673195,864691135739962004,[361328 213344  25575],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,770.0,9513.0,620.0,8398.0,1
2190,201125,864691136973978652,[139552 221536  19914],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,58.0,1419.0,50.0,1252.0,1
2192,438795,864691136521571729,[252928 242160  25119],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,52.0,2046.0,46.0,1811.0,1
