,id,pt_root_id,pt_position,timestamp,layer,cell_polarity,subclass,pre_syn_count,post_syn_count,unique_pre_syn_target_count,unique_post_syn_target_count,DONE_labels
11,261392,864691135883891312,[178128 157872  27288],2022-06-09 14:30:32.002707,L4,excitatory,4P,109.0,2501.0,88.0,2149.0,1
14,113155,864691135809476044,[101552 149616  21520],2022-06-09 14:30:32.002707,L4,excitatory,23P,48.0,561.0,44.0,505.0,1
15,361614,864691135212611456,[219984 139024  23200],2022-06-09 14:30:32.002707,L4,excitatory,4P,581.0,1778.0,507.0,1474.0,1
30,613811,864691136672229117,[350736 148192  16572],2022-06-09 14:30:32.002707,L4,excitatory,4P,84.0,1395.0,80.0,1272.0,1
32,330194,864691137019764078,[201520 152240  20142],2022-06-09 14:30:32.002707,L4,excitatory,4P,290.0,1211.0,256.0,1024.0,1
34,456143,864691135385185621,[270144 129024  24277],2022-06-09 14:30:32.002707,L4,excitatory,23P,140.0,2644.0,125.0,2310.0,1
40,225253,864691135799738978,[150432 159632  16311],2022-06-09 14:30:32.002707,L4,excitatory,4P,277.0,2795.0,251.0,2349.0,1
45,363748,864691135490759911,[220592 158752  22894],2022-06-09 14:30:32.002707,L4,excitatory,4P,426.0,4987.0,358.0,3910.0,1
46,327468,864691135815852879,[200560 139264  16831],2022-06-09 14:30:32.002707,L4,excitatory,23P,81.0,2558.0,63.0,2300.0,1
53,298774,864691136194546152,[180912 170736  20810],2022-06-09 14:30:32.002707,L4,excitatory,5P-IT,148.0,3281.0,131.0,2902.0,1
66,116812,864691135269759141,[ 99648 171584  21128],2022-06-09 14:30:32.002707,L4,excitatory,4P,42.0,1085.0,37.0,941.0,1
70,117579,864691136116181156,[109472 165232  24378],2022-06-09 14:30:32.002707,L4,excitatory,4P,165.0,2069.0,145.0,1661.0,1
73,223502,864691135445908114,[147936 142912  15187],2022-06-09 14:30:32.002707,L4,excitatory,23P,68.0,1835.0,22.0,1576.0,1
86,156853,864691135472268338,[117168 158688  18177],2022-06-09 14:30:32.002707,L4,excitatory,4P,29.0,3359.0,23.0,2837.0,1
87,157319,864691135864090750,[115552 155312  21459],2022-06-09 14:30:32.002707,L4,excitatory,4P,37.0,1678.0,30.0,1517.0,1
88,158904,864691136296653339,[117968 176304  17734],2022-06-09 14:30:32.002707,L4,excitatory,4P,152.0,2159.0,132.0,1908.0,1
90,519315,864691135565004631,[301568 125728  27524],2022-06-09 14:30:32.002707,L4,excitatory,23P,93.0,1637.0,82.0,1481.0,1
94,492828,864691136041056598,[288448 160720  19351],2022-06-09 14:30:32.002707,L4,excitatory,4P,293.0,2636.0,248.0,2243.0,1
95,156453,864691135354947023,[119552 157888  15775],2022-06-09 14:30:32.002707,L4,excitatory,4P,412.0,1793.0,352.0,1541.0,1
102,585846,864691135382482650,[342272 150496  20904],2022-06-09 14:30:32.002707,L4,excitatory,4P,76.0,1381.0,55.0,1224.0,1
103,393740,864691136683947382,[232336 157088  16405],2022-06-09 14:30:32.002707,L4,excitatory,4P,111.0,1784.0,95.0,1574.0,1
112,520130,864691136333753779,[301104 140896  20607],2022-06-09 14:30:32.002707,L4,excitatory,4P,19.0,1578.0,11.0,1315.0,1
116,426877,864691135615775849,[251104 154944  27150],2022-06-09 14:30:32.002707,L4,excitatory,4P,466.0,1847.0,411.0,1549.0,1
119,489271,864691135753692877,[284256 142032  23810],2022-06-09 14:30:32.002707,L4,excitatory,4P,363.0,3177.0,317.0,2664.0,1
130,361432,864691136008649134,[221472 139936  21362],2022-06-09 14:30:32.002707,L4,excitatory,23P,605.0,3261.0,517.0,2751.0,1
131,361568,864691135974784111,[212976 141696  22805],2022-06-09 14:30:32.002707,L4,excitatory,23P,430.0,3249.0,372.0,2724.0,1
150,70319,864691136311146391,[ 91024 158112  16632],2022-06-09 14:30:32.002707,L4,excitatory,4P,22.0,950.0,18.0,860.0,1
160,193046,864691135155562852,[132496 147248  24048],2022-06-09 14:30:32.002707,L4,excitatory,23P,260.0,3226.0,223.0,2721.0,1
167,261951,864691135528034756,[169888 168416  17485],2022-06-09 14:30:32.002707,L4,inhibitory,MC,605.0,4815.0,501.0,4187.0,1
170,584147,864691135012489462,[329696 140432  22828],2022-06-09 14:30:32.002707,L4,excitatory,4P,21.0,3667.0,10.0,3111.0,1
171,261639,864691135103964237,[173696 163136  15963],2022-06-09 14:30:32.002707,L4,excitatory,4P,20.0,1478.0,12.0,1322.0,1
177,158854,864691136329203178,[130096 168880  16973],2022-06-09 14:30:32.002707,L4,inhibitory,MC,57.0,8018.0,44.0,6758.0,1
178,365917,864691135888509577,[214400 163248  23137],2022-06-09 14:30:32.002707,L4,excitatory,4P,76.0,2362.0,69.0,2010.0,1
180,262534,864691135568117996,[175424 166160  20228],2022-06-09 14:30:32.002707,L4,excitatory,4P,100.0,1501.0,86.0,1326.0,1
181,555011,864691136534847906,[322864 143200  21259],2022-06-09 14:30:32.002707,L4,excitatory,4P,98.0,1708.0,91.0,1472.0,1
182,193787,864691135915194982,[143152 169104  15486],2022-06-09 14:30:32.002707,L4,excitatory,4P,594.0,1015.0,509.0,887.0,1
184,490563,864691135611636291,[292304 152528  18567],2022-06-09 14:30:32.002707,L4,excitatory,4P,177.0,2957.0,152.0,2503.0,1
185,658988,864691135538110322,[366720 148512  23515],2022-06-09 14:30:32.002707,L4,excitatory,4P,38.0,1751.0,38.0,1535.0,1
186,112268,864691135577010437,[113184 154816  16295],2022-06-09 14:30:32.002707,L4,excitatory,23P,43.0,2147.0,38.0,1919.0,1
190,362948,864691135699263522,[223376 159440  18820],2022-06-09 14:30:32.002707,L4,excitatory,4P,83.0,4128.0,76.0,3422.0,1
191,456355,864691136418627735,[277952 135168  25127],2022-06-09 14:30:32.002707,L4,excitatory,23P,55.0,3526.0,45.0,3147.0,1
192,520686,864691136577523476,[304928 132224  24837],2022-06-09 14:30:32.002707,L4,inhibitory,BC,40.0,7458.0,18.0,6365.0,1
193,116970,864691134964466975,[104960 167888  22129],2022-06-09 14:30:32.002707,L4,inhibitory,4P,48.0,600.0,40.0,516.0,1
194,70396,864691136139059281,[ 83584 143696  17539],2022-06-09 14:30:32.002707,L4,excitatory,23P,10.0,858.0,3.0,756.0,1
195,227210,864691135434783986,[163312 161856  15460],2022-06-09 14:30:32.002707,L4,excitatory,4P,18.0,1265.0,18.0,1120.0,1
196,426104,864691135585139324,[252032 157552  21647],2022-06-09 14:30:32.002707,L4,excitatory,4P,100.0,1879.0,89.0,1592.0,1
197,296921,864691135334491881,[190304 157920  22999],2022-06-09 14:30:32.002707,L4,excitatory,4P,33.0,2569.0,28.0,2193.0,1
198,159915,864691135162711597,[130720 161280  23206],2022-06-09 14:30:32.002707,L4,excitatory,4P,1695.0,3144.0,1389.0,2604.0,1
199,115627,864691135809427148,[104064 164400  15597],2022-06-09 14:30:32.002707,L4,excitatory,4P,270.0,883.0,225.0,738.0,1
201,158573,864691136422830383,[118368 170320  16023],2022-06-09 14:30:32.002707,L4,excitatory,4P,219.0,1372.0,201.0,1196.0,1
203,424150,864691135269698213,[260192 140992  22034],2022-06-09 14:30:32.002707,L4,excitatory,23P,62.0,1955.0,58.0,1716.0,1
204,583845,864691135939358209,[330064 143344  20019],2022-06-09 14:30:32.002707,L4,excitatory,4P,51.0,1941.0,42.0,1710.0,1
